# brass holder with empty powder container 
#  temperature (K) 	 M/H spline 0.1T (emu) 	 M/H spline 5T (emu)
5.097509750975097731e+00	-6.277945583971890906e-10	-4.708686536906589659e-10
5.132313231323132108e+00	-6.180664488730053160e-10	-4.659484125093283633e-10
5.167116711671166485e+00	-6.084301506389323824e-10	-4.610318148098416501e-10
5.201920192019201750e+00	-5.988848959979578330e-10	-4.561190376842990726e-10
5.236723672367237015e+00	-5.894299172530701418e-10	-4.512102582248013940e-10
5.271527152715271392e+00	-5.800644467072581960e-10	-4.463056535234495327e-10
5.306330633063305768e+00	-5.707877166635096423e-10	-4.414054006723436832e-10
5.341134113411341033e+00	-5.615989594248117138e-10	-4.365096767635847639e-10
5.375937593759375410e+00	-5.524974072941538148e-10	-4.316186588892729177e-10
5.410741074107409787e+00	-5.434822925745232819e-10	-4.267325241415093732e-10
5.445544554455445052e+00	-5.345528475689084852e-10	-4.218514496123942731e-10
5.480348034803480317e+00	-5.257083045802976920e-10	-4.169756123940282257e-10
5.515151515151514694e+00	-5.169478959116789625e-10	-4.121051895785123561e-10
5.549954995499549071e+00	-5.082708538660404601e-10	-4.072403582579465487e-10
5.584758475847584336e+00	-4.996764107463703487e-10	-4.023812955244317736e-10
5.619561956195619601e+00	-4.911637988556561713e-10	-3.975281784700685355e-10
5.654365436543653978e+00	-4.827322504968872290e-10	-3.926811841869573908e-10
5.689168916891688355e+00	-4.743809979730505480e-10	-3.878404897671995165e-10
5.723972397239723620e+00	-4.661092735871349124e-10	-3.830062723028946418e-10
5.758775877587758885e+00	-4.579163096421279170e-10	-3.781787088861436334e-10
5.793579357935793261e+00	-4.498013384410185010e-10	-3.733579766090475647e-10
5.828382838283827638e+00	-4.417635922867943110e-10	-3.685442525637066303e-10
5.863186318631862903e+00	-4.338023034824432521e-10	-3.637377138422213349e-10
5.897989798979898168e+00	-4.259167043309536431e-10	-3.589385375366925970e-10
5.932793279327932545e+00	-4.181060271353138543e-10	-3.541469007392208179e-10
5.967596759675966922e+00	-4.103695041985118425e-10	-3.493629805419067608e-10
6.002400240024002187e+00	-4.027063678235354613e-10	-3.445869540368506720e-10
6.037203720372036564e+00	-3.951158503133735462e-10	-3.398189983161537284e-10
6.072007200720071829e+00	-3.875971839710135372e-10	-3.350592904719158143e-10
6.106810681068106206e+00	-3.801496010994440114e-10	-3.303080075962382617e-10
6.141614161416141471e+00	-3.727723340016527189e-10	-3.255653267812211101e-10
6.176417641764175848e+00	-3.654646149806281851e-10	-3.208314251189652262e-10
6.211221122112211113e+00	-3.582256763393581601e-10	-3.161064797015711663e-10
6.246024602460245490e+00	-3.510547503808312212e-10	-3.113906676211396420e-10
6.280828082808280755e+00	-3.439510694080351183e-10	-3.066841659697708997e-10
6.315631563156315131e+00	-3.369138657239582218e-10	-3.019871518395661162e-10
6.350435043504350396e+00	-3.299423716315883336e-10	-2.972998023226252275e-10
6.385238523852384773e+00	-3.230358194339142375e-10	-2.926222945110493071e-10
6.420042004200420038e+00	-3.161934414339232700e-10	-2.879548054969389632e-10
6.454845484548454415e+00	-3.094144699346042668e-10	-2.832975123723945971e-10
6.489648964896488792e+00	-3.026981372389448746e-10	-2.786505922295168170e-10
6.524452445244524057e+00	-2.960436756499332053e-10	-2.740142221604061794e-10
6.559255925592558434e+00	-2.894503174705578360e-10	-2.693885792571636026e-10
6.594059405940593699e+00	-2.829172950038064651e-10	-2.647738406118892812e-10
6.628862886288628076e+00	-2.764438405526675665e-10	-2.601701833166841852e-10
6.663666366636663341e+00	-2.700291864201290969e-10	-2.555777844636485092e-10
6.698469846984697718e+00	-2.636725649091792716e-10	-2.509968211448833268e-10
6.733273327332732983e+00	-2.573732083228060475e-10	-2.464274704524887289e-10
6.768076807680767359e+00	-2.511303489639976916e-10	-2.418699094785657892e-10
6.802880288028802624e+00	-2.449432191357421608e-10	-2.373243153152148055e-10
6.837683768376837001e+00	-2.388110511410280321e-10	-2.327908650545365670e-10
6.872487248724872266e+00	-2.327330772828429265e-10	-2.282697357886315268e-10
6.907290729072906643e+00	-2.267085298641753693e-10	-2.237611046096003964e-10
6.942094209420941908e+00	-2.207366411880132917e-10	-2.192651486095436288e-10
6.976897689768976285e+00	-2.148166435573448572e-10	-2.147820448805620908e-10
7.011701170117011550e+00	-2.089477692751580225e-10	-2.103119705147561061e-10
7.046504650465045927e+00	-2.031292506444412617e-10	-2.058551026042263863e-10
7.081308130813081192e+00	-1.973603199681825831e-10	-2.014116182410735913e-10
7.116111611161115569e+00	-1.916402095493699177e-10	-1.969816945173983034e-10
7.150915091509150834e+00	-1.859681516909916876e-10	-1.925655085253010015e-10
7.185718571857185211e+00	-1.803433786960360824e-10	-1.881632373568824747e-10
7.220522052205219588e+00	-1.747651228674909554e-10	-1.837750581042432019e-10
7.255325532553254853e+00	-1.692326165083443410e-10	-1.794011478594837396e-10
7.290129012901289229e+00	-1.637450919215848165e-10	-1.750416837147048769e-10
7.324932493249324494e+00	-1.583017814102000542e-10	-1.706968427620069893e-10
7.359735973597358871e+00	-1.529019172771785539e-10	-1.663668020934908918e-10
7.394539453945394136e+00	-1.475447318255082207e-10	-1.620517388012569599e-10
7.429342934293428513e+00	-1.422294573581774249e-10	-1.577518299774060086e-10
7.464146414641463778e+00	-1.369553261781739425e-10	-1.534672527140384909e-10
7.498949894989498155e+00	-1.317215705884863766e-10	-1.491981841032552217e-10
7.533753375337533420e+00	-1.265274228921022961e-10	-1.449448012371564216e-10
7.568556855685567797e+00	-1.213721153920103043e-10	-1.407072812078431380e-10
7.603360336033603062e+00	-1.162548803911982285e-10	-1.364858011074155657e-10
7.638163816381637439e+00	-1.111749501926544652e-10	-1.322805380279747004e-10
7.672967296729672704e+00	-1.061315570993669711e-10	-1.280916690616207368e-10
7.707770777077707081e+00	-1.011239334143240908e-10	-1.239193713004546707e-10
7.742574257425742346e+00	-9.615131144051352257e-11	-1.197638218365767484e-10
7.777377737773776722e+00	-9.121292348092399879e-11	-1.156251977620878755e-10
7.812181218121811987e+00	-8.630800183854306267e-11	-1.115036761690884143e-10
7.846984698469846364e+00	-8.143577881635918802e-11	-1.073994341496791283e-10
7.881788178817881629e+00	-7.659548671736038335e-11	-1.033126487959605222e-10
7.916591659165916006e+00	-7.178635784453490276e-11	-9.924349720003330750e-11
7.951395139513950383e+00	-6.700762450087085817e-11	-9.519215645399802779e-11
7.986198619861985648e+00	-6.225851898935624517e-11	-9.115880364995516197e-11
8.021002100210019137e+00	-5.753827361297944065e-11	-8.714361588000560255e-11
8.055805580558054402e+00	-5.284612067472825277e-11	-8.314677023624960874e-11
8.090609060906089667e+00	-4.818129247759098089e-11	-7.916844381078795670e-11
8.125412541254124932e+00	-4.354302146144022777e-11	-7.520881369572115122e-11
8.160216021602160197e+00	-3.893069427969644963e-11	-7.126805698314996847e-11
8.195019501950195462e+00	-3.434414760241345237e-11	-6.734635076517484859e-11
8.229822982298228951e+00	-2.978329974370755911e-11	-6.344387213389676164e-11
8.264626462646264216e+00	-2.524806901769426259e-11	-5.956079818141572125e-11
8.299429942994297704e+00	-2.073837373849044493e-11	-5.569730599983291719e-11
8.334233423342332969e+00	-1.625413222021152454e-11	-5.185357268124833078e-11
8.369036903690368234e+00	-1.179526277697394734e-11	-4.802977531776299023e-11
8.403840384038403499e+00	-7.361683722893758569e-12	-4.422609100147738092e-11
8.438643864386438764e+00	-2.953313372087159803e-12	-4.044269682449215625e-11
8.473447344734474029e+00	1.429929961329830567e-12	-3.667976987890784684e-11
8.508250825082507518e+00	5.788127963240900920e-12	-3.293748725682528702e-11
8.543054305430542783e+00	1.012136231953015847e-11	-2.921602605034468431e-11
8.577857785778576272e+00	1.442971471608134814e-11	-2.551556335156701198e-11
8.612661266126611537e+00	1.871326683877856766e-11	-2.183627625259255184e-11
8.647464746474646802e+00	2.297210037350558922e-11	-1.817834184552201224e-11
8.682268226822682067e+00	2.720629700614642086e-11	-1.454193722245606757e-11
8.717071707170717332e+00	3.141593842258466192e-11	-1.092723283124293655e-11
8.751875187518750820e+00	3.560110630870413142e-11	-7.334257538717893886e-12
8.786678667866786085e+00	3.976188235038927526e-11	-3.762904605534867306e-12
8.821482148214819574e+00	4.389834823352335025e-11	-2.130618437592319515e-13
8.856285628562854839e+00	4.801058564399076995e-11	3.315382934544483706e-12
8.891089108910890104e+00	5.209867626767520478e-11	6.822541917311065429e-12
8.925892589258925369e+00	5.616270179046049962e-11	1.030852729247560079e-11
8.960696069606960634e+00	6.020274389823061567e-11	1.377345124797314088e-11
8.995499549954995899e+00	6.421888427686941076e-11	1.721742597173869925e-11
9.030303030303029388e+00	6.821120461226047773e-11	2.064056365170715209e-11
9.065106510651064653e+00	7.217978659028825601e-11	2.404297647581386998e-11
9.099909990999098142e+00	7.612471189683612519e-11	2.742477663199359020e-11
9.134713471347133407e+00	8.004606221778846008e-11	3.078607630818166717e-11
9.169516951695168672e+00	8.394391923902888583e-11	3.412698769231297710e-11
9.204320432043203937e+00	8.781836464644126027e-11	3.744762297232257067e-11
9.239123912391239202e+00	9.166948012590954461e-11	4.074809433614546305e-11
9.273927392739274467e+00	9.549734736331755787e-11	4.402851397171672753e-11
9.308730873087307955e+00	9.930204804454914495e-11	4.728899406697118541e-11
