[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3737893160.926,06/11/2018,4:42 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty brass,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.32,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3737895544.24702,4.52259135246277,999.640686035156,-4.15694388044006E-7,6.09712951843947E-9,1,5,14.0008964538574,3.98004276628013,30.009999871254,-0.000363828521874699,-7.61233399060256E-5,1,-2.34795790101235E-8,4.41295433044434,4.6322283744812,999.640686035156,999.640686035156,50.2743463569284,5.78824901602449,2.44790625572205,70,1,0,0,1,0.26092529296875,27.8592376708984,6,1,1,4.6322283744812,0,4.52259135246277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895549.01889,4.72945404052734,999.640686035156,-3.7262201804891E-7,7.08911957431737E-9,1,5,14.0008964538574,3.98000071679682,30.0200004130602,-0.000325943646626166,-6.94342992544794E-5,1,-2.24057537903611E-8,4.64205646514893,4.81685161590576,999.640686035156,999.640686035156,50.2176782892842,5.78809691978644,2.48529958724976,70,1,0,0,1,0.262451171875,27.8592376708984,6,1,1,4.81685161590576,0,4.72945404052734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895554.02032,4.94583678245544,999.640686035156,-3.24788005319521E-7,7.26734351010464E-9,1,5,14.0008964538574,3.97995659347444,30.009999871254,-0.000283690105653391,-6.32136557672433E-5,1,-2.25811830045706E-8,4.84917068481445,5.04250288009644,999.640686035156,999.640686035156,50.2720014713707,5.78850112153894,2.53522729873657,70,1,0,0,1,0.26123046875,27.8592376708984,6,1,1,5.04250288009644,0,4.94583678245544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895558.67399,5.15271329879761,999.640686035156,-2.73542739343451E-7,7.19554991862097E-9,1,5,14.0008964538574,3.97999447104343,30.009999871254,-0.000238258950324184,-5.7705132083907E-5,1,-2.40759196672844E-8,5.04250288009644,5.26292371749878,999.640686035156,999.640686035156,50.2622311148803,5.78846913073325,2.57551431655884,70,1,0,0,1,0.260238647460938,27.8592376708984,6,1,1,5.26292371749878,0,5.15271329879761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895563.66691,5.3772828578949,999.640686035156,-2.38659174524506E-7,7.49912915772393E-9,1,5,14.0008964538574,3.97997545849245,30.009999871254,-0.000208080235854577,-4.89755552224146E-5,1,-1.94532542542401E-8,5.26292371749878,5.49164199829102,999.640686035156,999.640686035156,50.2063446757553,5.78845763476978,2.61668157577515,70,1,0,0,1,0.265884399414062,27.8592376708984,6,1,1,5.49164199829102,0,5.3772828578949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895568.67212,5.59733581542969,999.640686035156,-2.0003045497714E-7,7.56213464418437E-9,1,5,14.0008964538574,3.97998947414988,30.009999871254,-0.000173315746582512,-4.82437669158687E-5,1,-2.44554052410756E-8,5.49164199829102,5.70302963256836,999.640686035156,999.640686035156,50.2282302742938,5.78796368843522,2.66041135787964,70,1,0,0,1,0.260543823242187,27.8592376708984,6,1,1,5.70302963256836,0,5.59733581542969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895573.704,5.82579803466797,999.640686035156,-1.65912105574648E-7,6.45609116421264E-9,1,5,14.0008964538574,3.97997794473958,30.009999871254,-0.000144531607396044,-3.48594957757964E-5,1,-1.44439474369231E-8,5.71376466751099,5.93783140182495,999.640686035156,999.640686035156,50.1911029196303,5.78847039329485,2.6972017288208,70,1,0,0,1,0.260848999023438,27.8592376708984,6,1,1,5.93783140182495,0,5.82579803466797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895578.70023,6.04700946807861,999.640686035156,-1.29349231096529E-7,7.59691323693389E-9,1,5,14.0008964538574,3.97998379584467,30.009999871254,-0.000111027067350535,-3.81315414194347E-5,1,-2.36701570139235E-8,5.93783140182495,6.15618753433228,999.640686035156,999.640686035156,50.3122553401111,5.7879059958968,2.73261022567749,70,1,0,0,1,0.261077880859375,27.8592376708984,6,1,1,6.15618753433228,0,6.04700946807861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895583.69,6.28362131118774,999.640686035156,-8.86084516016162E-8,6.20547536044589E-9,1,5,14.0008964538574,3.97997799934857,30.009999871254,-7.45633968071608E-5,-3.60151634883271E-5,1,-2.74230347506368E-8,6.17140245437622,6.39584016799927,999.640686035156,999.640686035156,50.3142094114092,5.78854621064904,2.77268481254578,70,1,0,0,1,0.2642822265625,27.8592376708984,6,1,1,6.39584016799927,0,6.28362131118774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737895588.72,6.50867891311646,999.640686035156,-6.32343565999165E-8,6.87524880311044E-9,1,5,14.0008964538574,3.97994160444319,30.009999871254,-5.23200697090866E-5,-3.15997567323578E-5,1,-2.62521142735312E-8,6.39584016799927,6.62151765823364,999.640686035156,999.640686035156,50.2313567883707,5.7880740786072,2.8053195476532,70,1,0,0,1,0.261688232421875,27.8592376708984,6,1,1,6.62151765823364,0,6.50867891311646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
