[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3726065299.88445,01/25/2018,6:08 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,GE,SAMPLE_MATERIAL
INFO,drop,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.44,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3726066197.91786,290.999816894531,9999.6572265625,-4.50730037615549E-6,1.81610607728619E-7,1,2,13.2042255401611,7.9947127310221,33.6299985647202,-0.00909069856688288,-0.00151058106533075,1000,-8.01124447344381E-8,290.999816894531,290.999816894531,9999.6572265625,9999.6572265625,50.48616768564,5.51370529258338,6.4219970703125,26,1,0,0,1,0.457992553710937,34.2131004333496,2,1,1,290.999816894531,0,290.999816894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066218.23161,289.993438720703,9999.6572265625,-4.47286595353812E-6,1.62682374955148E-7,1,2,13.2042255401611,7.99468577600502,33.6299985647202,-0.0090878912244613,-0.00104850329609236,1000,1.43294154940588E-7,289.993438720703,289.993438720703,9999.6572265625,9999.6572265625,50.5475255243996,5.51408700653854,6.42583417892456,26,1,0,0,1,0.461196899414063,31.7693061828613,2,1,1,289.993438720703,0,289.993438720703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066238.05423,288.992706298828,9999.6572265625,-4.64006186910084E-6,1.8691509143167E-7,1,2,13.2042255401611,7.99465516783201,33.6299985647202,-0.0093775790233741,-0.00142561695666556,1000,-1.84566220205505E-8,288.992706298828,288.992706298828,9999.6572265625,9999.6572265625,50.3290603532746,5.51423306810419,6.43500137329102,26,1,0,0,1,0.463180541992188,31.7693061828613,2,1,1,288.992706298828,0,288.992706298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066257.94155,287.993591308594,9999.6572265625,-4.48509763892038E-6,1.8191162183836E-7,1,2,13.2042255401611,7.99465009132976,33.6299985647202,-0.00906563741400752,-0.00136959220305898,1000,-1.36799320282212E-8,287.993591308594,287.993591308594,9999.6572265625,9999.6572265625,50.4103497192746,5.51456746170723,6.4340500831604,26,1,0,0,1,0.458755493164063,31.7693061828613,2,1,1,287.993591308594,0,287.993591308594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066277.12038,286.997619628906,9999.6572265625,-4.53249431768764E-6,1.77745412231485E-7,1,2,13.2042255401611,7.99455063744314,33.6299985647202,-0.0091623668075222,-0.00137736186484654,1000,-1.0514149454221E-8,286.997619628906,286.997619628906,9999.6572265625,9999.6572265625,50.594814049813,5.51468820556865,6.4477014541626,26,1,0,0,1,0.458755493164063,32.2580642700195,2,1,1,286.997619628906,0,286.997619628906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066297.49126,285.995941162109,9999.6572265625,-4.47208748627431E-6,1.8148821104489E-7,1,2,13.2042255401611,7.99454318897727,33.6299985647202,-0.00906989851214751,-0.00115862276567026,1000,8.87179757149706E-8,285.995941162109,285.995941162109,9999.6572265625,9999.6572265625,50.2782544995246,5.51481095059346,6.45422649383545,26,1,0,0,1,0.46173095703125,32.2580642700195,2,1,1,285.995941162109,0,285.995941162109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066317.52162,284.981628417969,9999.6572265625,-4.51871030832949E-6,1.8090131787068E-7,1,2,13.2042255401611,7.99452070800175,33.6299985647202,-0.00912769343496695,-0.00141906409779163,1000,-3.31774694436418E-8,284.981628417969,284.981628417969,9999.6572265625,9999.6572265625,50.4349710176303,5.51524022260456,6.46079540252686,26,1,0,0,1,0.463638305664063,31.7693061828613,2,1,1,284.981628417969,0,284.981628417969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066337.02604,283.995819091797,9999.6572265625,-4.50381582101356E-6,1.83141294975028E-7,1,2,13.2042255401611,7.9945341521819,33.6299985647202,-0.00909306354947265,-0.00144515237903931,1000,-4.82816505498715E-8,283.995819091797,283.995819091797,9999.6572265625,9999.6572265625,50.470925929515,5.51499359059591,6.46473979949951,26,1,0,0,1,0.458831787109375,30.7917900085449,2,1,1,283.995819091797,0,283.995819091797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066357.22046,282.993225097656,9999.6572265625,-4.53072818600053E-6,1.71033457804401E-7,1,2,13.2042255401611,7.99454172773884,33.6299985647202,-0.00916059880017797,-0.00136460559809847,1000,-4.46769609627661E-9,282.993225097656,282.993225097656,9999.6572265625,9999.6572265625,50.3939355203707,5.51541365095101,6.46190547943115,26,1,0,0,1,0.45989990234375,33.2355842590332,2,1,1,282.993225097656,0,282.993225097656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3726066377.08978,281.984649658203,9999.6572265625,-4.39488947465306E-6,1.7537573500724E-7,1,2,13.2042255401611,7.99454872773997,33.6299985647202,-0.00895618431456263,-0.000849020328231804,1000,2.30399656840983E-7,281.984649658203,281.984649658203,9999.6572265625,9999.6572265625,50.4541209163515,5.51543541491696,6.47495746612549,26,1,0,0,1,0.460586547851562,31.7693061828613,2,1,1,281.984649658203,0,281.984649658203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
