# Temperature (K), 	 Pt100 Resistance (Ohm)
1.323969984054570048e+01	9.698620581626890003e-01
1.343690013885500001e+01	9.758456444740299940e-01
1.363859987258910067e+01	9.822035431861879662e-01
1.384210014343259942e+01	9.888443851470950507e-01
1.404799985885619940e+01	9.958560872077939496e-01
1.425780010223389915e+01	1.003228073120119967e+00
1.447144985198969991e+01	1.010963516235350079e+00
1.468805027008060016e+01	1.019149398803709916e+00
1.490529966354369940e+01	1.027878189086909977e+00
1.512860012054439984e+01	1.036957592964169894e+00
1.535404968261719993e+01	1.046588788032529971e+00
1.558384990692139915e+01	1.056622204780579999e+00
1.581579971313479938e+01	1.067461285591130071e+00
1.605190086364750002e+01	1.078685345649720073e+00
1.629275035858150034e+01	1.090431714057920054e+00
1.653505039215090022e+01	1.103095102310180042e+00
1.678320026397710052e+01	1.116130685806270062e+00
1.703464984893799894e+01	1.130175180435180060e+00
1.728740024566650035e+01	1.144569253921509988e+00
1.754430007934569957e+01	1.160257849693300036e+00
1.780739974975589845e+01	1.176073889732359934e+00
1.807295036315920100e+01	1.193344092369079901e+00
1.834444999694819955e+01	1.210642218589780050e+00
1.861855030059809835e+01	1.229733371734619940e+00
1.889649963378910158e+01	1.248669834136959977e+00
1.917744922637940164e+01	1.269903354644779991e+00
1.946299934387209873e+01	1.290953125953669955e+00
1.975450038909909978e+01	1.314054474830629982e+00
2.004879951477050071e+01	1.337603363990780059e+00
2.034815025329589844e+01	1.362574338912960092e+00
2.065250015258790128e+01	1.388976621627810104e+00
2.095989990234379974e+01	1.416596827507019984e+00
2.127355003356930041e+01	1.445570063591000043e+00
2.159064960479739881e+01	1.476086845397950098e+00
2.191374969482420099e+01	1.507985038757319929e+00
2.224119949340819957e+01	1.541231770515439914e+00
2.257544994354249823e+01	1.576649098396299964e+00
2.291000080108640091e+01	1.612477006912230060e+00
2.325405025482179866e+01	1.652038927078250063e+00
2.359450054168700106e+01	1.692173476219180017e+00
2.395184993743900037e+01	1.733734416961669966e+00
2.431200027465819957e+01	1.778844280242920073e+00
2.467510032653810015e+01	1.824589638710020001e+00
2.503565025329589844e+01	1.873931646347049895e+00
2.541405010223390093e+01	1.924495425224300060e+00
2.579249954223629970e+01	1.976135711669920081e+00
2.617959976196290128e+01	2.034943542480470047e+00
2.657170009613039952e+01	2.091937646865840161e+00
2.696619987487790127e+01	2.154099512100219993e+00
2.736889934539789948e+01	2.216188526153560101e+00
2.778489971160890093e+01	2.285895099639890127e+00
2.819504928588870030e+01	2.352874097824099842e+00
2.862069988250729935e+01	2.428299970626830007e+00
2.904755020141600141e+01	2.504264564514159908e+00
2.948315048217769885e+01	2.584009370803829864e+00
2.991670036315920100e+01	2.666039705276490146e+00
3.036424922943119853e+01	2.752711391448969813e+00
3.081710052490230112e+01	2.843203115463260211e+00
3.127820014953610084e+01	2.937051382064820082e+00
3.174025058746340022e+01	3.034434585571290199e+00
3.221630096435549717e+01	3.136269388198849928e+00
3.269835090637209873e+01	3.242249698638920208e+00
3.318289947509769888e+01	3.352326688766479990e+00
3.367944908142089844e+01	3.466772880554199965e+00
