Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,22104102.11,4369,284.54914855957,0.0979999974370003,284.35400390625,0.104423377990723,500,8.24205074459314e-006,500,0.0387756576538086,500,,,5.48250860582501e-007,4.03565403912196e-008,6.36677002192681e-007,,25,104.423377990723,0.00824205074459314,38.7756576538086,,,,,0.00,0.00,0.00,0.00
,22104752.45,4369,280.364700317383,0.0979999974370003,284.35400390625,0.102786190490723,500,8.24617061764002e-006,500,0.0391518045043945,500,,,1.0984530289366e-006,3.05313079471572e-008,8.07528236917046e-007,,25,102.786190490723,0.00824617061764002,39.1518045043945,,,,,0.00,0.00,0.00,0.00
,22105398.78,4369,276.236846923828,0.0979999974370003,284.35400390625,0.101181251525879,500,8.23106441646814e-006,500,0.0395378646850586,500,,,6.62923756181705e-007,4.53358113403646e-008,8.22914935243649e-007,,25,101.181251525879,0.00823106441646814,39.5378646850586,,,,,0.00,0.00,0.00,0.00
,22106043.52,4369,272.177597045898,0.0979999974370003,284.35400390625,0.0995977249145508,500,8.21031246334314e-006,500,0.0399245071411133,500,,,6.11588976266021e-007,4.63766789864747e-008,9.0220633645332e-007,,25,99.5977249145508,0.00821031246334314,39.9245071411133,,,,,0.00,0.00,0.00,0.00
,22106683.34,4369,268.173355102539,0.0979999974370003,284.35400390625,0.0980254159545899,500,8.19596920162439e-006,500,0.0403177101135254,500,,,2.88637165527289e-006,3.87242694381046e-008,1.28606214279773e-006,,25,98.0254159545898,0.00819596920162439,40.3177101135254,,,,,0.00,0.00,0.00,0.00
,22107316.98,4369,264.232147216797,0.0979999974370003,284.35400390625,0.096466926574707,500,8.19215450435877e-006,500,0.0407139434814453,500,,,7.31788453861133e-007,4.16500659498124e-008,6.43949961024934e-007,,25,96.466926574707,0.00819215450435877,40.7139434814453,,,,,0.00,0.00,0.00,0.00
,22107951.63,4369,260.340408325195,0.0979999974370003,284.35400390625,0.0949427264404297,500,8.18223629146814e-006,500,0.0411222538757324,500,,,2.76414720169892e-006,4.32381421462656e-008,1.49260002558481e-006,,25,94.9427264404297,0.00818223629146814,41.1222538757324,,,,,0.00,0.00,0.00,0.00
,22108583.02,4369,256.510406494141,0.0979999974370003,284.35400390625,0.0934487991333008,500,8.17277584224939e-006,500,0.041538143157959,500,,,8.59654627483577e-007,4.84340981855929e-008,6.31721498325245e-007,,25,93.4487991333008,0.00817277584224939,41.538143157959,,,,,0.00,0.00,0.00,0.00
,22109206.53,4369,252.73690032959,0.0979999974370003,284.35400390625,0.0919507751464844,500,8.16056881099939e-006,500,0.0419495315551758,500,,,6.28022239788142e-007,3.61133987238597e-008,6.485433112446e-007,,25,91.9507751464844,0.00816056881099939,41.9495315551758,,,,,0.00,0.00,0.00,0.00
,22109832.28,4369,249.018394470215,0.0979999974370003,284.35400390625,0.0904834899902344,500,8.13356075435877e-006,500,0.0423681335449219,500,,,5.99966936952042e-007,4.16439163162205e-008,5.82837189030586e-007,,25,90.4834899902344,0.00813356075435877,42.3681335449219,,,,,0.00,0.00,0.00,0.00
