# Temperature (K)	 Resistance (Ohm)
6.839200019836430222e+00	3.105063073730469796e+02
6.527199983596799981e+00	3.179113769531250000e+02
6.211250066757200372e+00	3.261347399902339816e+02
5.895049810409550339e+00	3.351286376953120225e+02
5.578900098800660068e+00	3.450649511718750091e+02
5.263849973678589755e+00	3.560186901855469728e+02
4.947500228881840378e+00	3.681497216796880139e+02
4.632400035858149856e+00	3.819109765625000250e+02
4.316100120544430041e+00	3.978188562011720251e+02
3.998950004577639827e+00	4.162864636230469841e+02
3.999750018119809791e+00	4.162629541015630252e+02
3.899850010871889872e+00	4.225588281249999909e+02
3.800250053405759942e+00	4.290961022949219910e+02
3.700500011444090021e+00	4.359304797363279818e+02
3.599300026893620164e+00	4.435079479980469728e+02
3.499749898910519796e+00	4.511147143554690047e+02
3.400299906730650079e+00	4.590253735351560067e+02
3.299999952316280183e+00	4.674431018066409820e+02
3.200650095939639783e+00	4.763928393554689933e+02
3.100250005722049895e+00	4.858204504394529977e+02
2.999750018119809791e+00	4.957291601562499750e+02
2.900099992752080080e+00	5.062056445312500159e+02
2.799550056457519975e+00	5.172643286132810090e+02
2.700250029563899812e+00	5.289784033203129638e+02
2.600399971008299893e+00	5.412857763671879638e+02
2.500349998474120206e+00	5.541083178710939592e+02
2.400699973106379836e+00	5.680385180664060272e+02
2.300299882888789949e+00	5.833027441406250091e+02
2.199550032615659845e+00	5.993422070312500409e+02
2.117299914360049939e+00	6.130850634765620271e+02
2.000800013542180178e+00	6.355717797851559681e+02
1.899399995803829899e+00	6.528172924804689501e+02
1.799999952316279961e+00	6.701034423828130002e+02
1.702750027179720016e+00	6.866412866210939683e+02
