# Temperature	 Resistance
7.230570220947269888e+01	9.404260467529300627e+01
7.128639984130859375e+01	9.486493164062500227e+01
7.026039886474609375e+01	9.567520568847659490e+01
6.923270034790040484e+01	9.650567565917970114e+01
6.820355224609380684e+01	9.735469604492189433e+01
6.718239974975590201e+01	9.822145172119140000e+01
6.616014862060549717e+01	9.910365661621089828e+01
6.512829971313479405e+01	1.000131936645509967e+02
6.409964752197269888e+01	1.009390966796869975e+02
6.307620048522949929e+01	1.018909753417970023e+02
6.205090141296390271e+01	1.028586013793949974e+02
6.102530097961430045e+01	1.038597796630860017e+02
6.000180053710940342e+01	1.048779623413090007e+02
5.999934959411619673e+01	1.048842990112299987e+02
5.949385070800779829e+01	1.053978411865229958e+02
5.898589897155760298e+01	1.059126110839840038e+02
5.848419952392580257e+01	1.064384033203130002e+02
5.797399902343750000e+01	1.069722415161130016e+02
5.747039985656739702e+01	1.075080047607419971e+02
5.696214866638180041e+01	1.080493832397460068e+02
5.645610046386720171e+01	1.086068841552729936e+02
5.595230102539059658e+01	1.091691912841800018e+02
5.544160079956049714e+01	1.097381622314450027e+02
5.493849945068360086e+01	1.103221646118160066e+02
5.443174934387209873e+01	1.109170413208010046e+02
5.392420005798339844e+01	1.115094528198240056e+02
5.341660118103030186e+01	1.121009454345699936e+02
5.291340065002439985e+01	1.127136560058589936e+02
5.240635108947750354e+01	1.133250009155269993e+02
5.190055084228519888e+01	1.139459448242189978e+02
5.139739990234379974e+01	1.145749935913089956e+02
5.088490104675290127e+01	1.152096771240230026e+02
5.037965011596679688e+01	1.158582888793950048e+02
4.987434959411619673e+01	1.165119461059569943e+02
4.936590003967290130e+01	1.171762069702150058e+02
4.886325073242190342e+01	1.178477798461910027e+02
4.835485076904299717e+01	1.185306958007810039e+02
4.784945106506349788e+01	1.192260937500000040e+02
4.734134864807130327e+01	1.199303778076170062e+02
4.683555030822750354e+01	1.206426031494140005e+02
4.632830047607419743e+01	1.213664703369140057e+02
4.582374954223629970e+01	1.221057894897460017e+02
4.531589889526370030e+01	1.228537750244140057e+02
4.480889892578129974e+01	1.236086886596680046e+02
4.430714988708499646e+01	1.243757815551760046e+02
4.379909896850590201e+01	1.251561291503909956e+02
4.329230117797850141e+01	1.259521057128909973e+02
4.278804969787599788e+01	1.267595462036129987e+02
4.228004837036129970e+01	1.275788937377929955e+02
4.177570152282709870e+01	1.284130084228519877e+02
4.126920127868650212e+01	1.292480834960940115e+02
4.076269912719730115e+01	1.301154406738280045e+02
4.025345039367680045e+01	1.309969549560549922e+02
3.974864959716799717e+01	1.318901800537109921e+02
3.924149894714359732e+01	1.327962658691409956e+02
3.873715019226069955e+01	1.337264166259770093e+02
3.823119926452640271e+01	1.346731518554690012e+02
3.772574996948240056e+01	1.356253247070310124e+02
3.721689987182620030e+01	1.366023205566409899e+02
3.671269989013669743e+01	1.375947912597659979e+02
3.620704841613770242e+01	1.386119830322269877e+02
3.569964981079100141e+01	1.396482171630860023e+02
3.518935012817379970e+01	1.406941058349609932e+02
3.468345069885250354e+01	1.417533453369140091e+02
3.418134880065920100e+01	1.428433520507809931e+02
3.367340087890629974e+01	1.439479888916019945e+02
3.316769981384280186e+01	1.450868609619139988e+02
3.266489982604979758e+01	1.462332531738279897e+02
3.217034912109379974e+01	1.474072778320310135e+02
3.165944957733150034e+01	1.486033056640629866e+02
3.114840030670169924e+01	1.498682537841800126e+02
3.064449977874760123e+01	1.511132678222660104e+02
3.012645053863530009e+01	1.524226794433589873e+02
2.961970043182369849e+01	1.537344543457029999e+02
2.911444950103760121e+01	1.550490545654299979e+02
2.860795021057129972e+01	1.564435083007809908e+02
2.809994983673099966e+01	1.578402136230469921e+02
2.759385013580320134e+01	1.592854492187499886e+02
2.708944988250729935e+01	1.607571459960940103e+02
2.658419990539550071e+01	1.622721752929689956e+02
2.609139919281010123e+01	1.637571600341800035e+02
2.557304954528810015e+01	1.654483465576169863e+02
2.507549953460690162e+01	1.670074090576169965e+02
2.455949974060060015e+01	1.687344732666020093e+02
2.405124950408940165e+01	1.704333477783200124e+02
2.354415035247799892e+01	1.721774298095699862e+02
2.303735065460210052e+01	1.739961950683589862e+02
2.253145027160639913e+01	1.758563897705080024e+02
2.202490043640139916e+01	1.777805383300780022e+02
2.151935005187990058e+01	1.797709844970700033e+02
2.101304912567140093e+01	1.818217498779299888e+02
2.050554943084719994e+01	1.839440319824219898e+02
1.999965000152590022e+01	1.861333807373050035e+02
2.000024986267089844e+01	1.861344146728519888e+02
1.974459934234619851e+01	1.872620367431640034e+02
1.949024963378910158e+01	1.883966510009769877e+02
1.923250007629389913e+01	1.896109503173829864e+02
1.897510051727289948e+01	1.907933868408200055e+02
1.871649932861329901e+01	1.920042309570310124e+02
1.846199989318850143e+01	1.932507708740230044e+02
1.820534992218020065e+01	1.945217919921880139e+02
1.794790077209470169e+01	1.958136352539059999e+02
1.769200038909909978e+01	1.971377349853520116e+02
1.743579959869380147e+01	1.985088464355470137e+02
1.718015003204349966e+01	1.999047937011719966e+02
1.692280006408689985e+01	2.013162713623050024e+02
1.666580009460449929e+01	2.027750183105470114e+02
1.641075038909909978e+01	2.042522741699220035e+02
1.615404987335210052e+01	2.057763836669919897e+02
1.589779996871950019e+01	2.073183740234379968e+02
1.564120006561280007e+01	2.088950378417970057e+02
1.538549995422360084e+01	2.105258673095700033e+02
1.512869977951049982e+01	2.121738079833980066e+02
1.487115001678469994e+01	2.138840734863279920e+02
1.461495018005370028e+01	2.156183721923829921e+02
1.435844993591310015e+01	2.174071337890630105e+02
1.410279989242549981e+01	2.192351330566409899e+02
1.384639978408809924e+01	2.211073638916020059e+02
1.358984994888309927e+01	2.230552740478520093e+02
1.333274984359739967e+01	2.250540112304690012e+02
1.307604980468750000e+01	2.271059515380860034e+02
1.282084989547730025e+01	2.292197772216800047e+02
1.256430006027220081e+01	2.313995989990229987e+02
1.230725002288819958e+01	2.336284045410160104e+02
1.205110025405880059e+01	2.359456799316409956e+02
1.179479980468750000e+01	2.383375067138669863e+02
1.153804969787599966e+01	2.408042187499999898e+02
1.128214979171750088e+01	2.433424072265630116e+02
1.102610015869139914e+01	2.459968041992190138e+02
1.076915025711059926e+01	2.487287542724610034e+02
1.051305007934569957e+01	2.515911444091800035e+02
1.025675010681150034e+01	2.545557025146480044e+02
1.000059986114499999e+01	2.576439233398439796e+02
1.000020027160639913e+01	2.576473742675780159e+02
9.684450149536129260e+00	2.616360864257810022e+02
9.368200302124019885e+00	2.658322680664060158e+02
9.052400112152099609e+00	2.702957031249999886e+02
8.736800193786619317e+00	2.750295715332030113e+02
8.420700073242189276e+00	2.800693139648440138e+02
8.104899883270260119e+00	2.854290332031250159e+02
7.789449930191040039e+00	2.911910705566410229e+02
7.473449945449829990e+00	2.973236657714840021e+02
7.157599925994870382e+00	3.039255395507810249e+02
6.835999965667720168e+00	3.117648010253910229e+02
6.526350021362300247e+00	3.191703833007809976e+02
6.210449934005739969e+00	3.275103649902339953e+02
5.896600008010859817e+00	3.366567395019529840e+02
5.579950094223019796e+00	3.466969763183590203e+02
5.263299942016599786e+00	3.577664294433590157e+02
4.946700096130370206e+00	3.700991137695310158e+02
4.631599903106690341e+00	3.840809362792970205e+02
4.315899848937990058e+00	4.002218383789059999e+02
4.000200033187869764e+00	4.189834045410160002e+02
3.999300003051760033e+00	4.190016394042970092e+02
3.824900031089780050e+00	4.304401403808590203e+02
3.649799942970279876e+00	4.427399194335940251e+02
3.475100040435790127e+00	4.560333508300780068e+02
3.300199985504149947e+00	4.706259936523439933e+02
3.124600052833559793e+00	4.867742382812500068e+02
2.995150089263920012e+00	4.997052429199220001e+02
2.952649950981140137e+00	5.040739892578130252e+02
2.904850006103520066e+00	5.091690185546880230e+02
2.860249996185300070e+00	5.139983471679689728e+02
2.817849993705749956e+00	5.189265332031250182e+02
2.771250009536740055e+00	5.243606713867189910e+02
2.726549983024599833e+00	5.297841137695310181e+02
2.681650042533870071e+00	5.350165966796879502e+02
2.635249972343439939e+00	5.407590698242189546e+02
2.592549920082090065e+00	5.462147827148439774e+02
2.547549962997440076e+00	5.519201635742190319e+02
2.505499958991999954e+00	5.577566186523439455e+02
2.457249999046330124e+00	5.640170288085939774e+02
2.411450028419490188e+00	5.705816552734370362e+02
2.368549942970279876e+00	5.768844799804689956e+02
2.323300004005429908e+00	5.839840966796870134e+02
2.278949975967409891e+00	5.910561523437500000e+02
2.232400059700009987e+00	5.983184912109379638e+02
2.187100052833559793e+00	6.058058374023439683e+02
2.143900036811829946e+00	6.130593920898439819e+02
2.100299954414369896e+00	6.205521826171880093e+02
2.053699970245359996e+00	6.282998120117190410e+02
2.007799983024599833e+00	6.361672827148439637e+02
1.965300023555760056e+00	6.436201562500000364e+02
1.920100033283230090e+00	6.511877661132809862e+02
1.876100003719330056e+00	6.589448339843750091e+02
1.829349994659420053e+00	6.669209912109370180e+02
1.784099996089939966e+00	6.747901513671870362e+02
1.739849984645839953e+00	6.821258593750000045e+02
1.714649975299840090e+00	6.862132373046870271e+02
