# Temperature (K) 	 Resistance (Ohm)
3.949914932250980115e+01	1.875887112426759984e+02
3.900065040588380327e+01	1.890657727050779897e+02
3.850189971923830257e+01	1.906398199462890091e+02
3.799994850158689985e+01	1.921801626586909890e+02
3.749839973449709873e+01	1.937530825805660015e+02
3.699954986572269888e+01	1.953525158691410013e+02
3.650135040283200283e+01	1.969811151123049910e+02
3.600144958496090197e+01	1.986489077758789961e+02
3.549950027465820312e+01	2.003501943969729950e+02
3.500160026550290127e+01	2.020803289794920090e+02
3.450029945373540130e+01	2.038495407104489914e+02
3.399979972839359732e+01	2.056540731811520004e+02
3.349900054931639914e+01	2.074964758300779977e+02
3.299954986572269888e+01	2.093816607666020104e+02
3.249874877929690342e+01	2.113067657470699885e+02
3.200005054473879795e+01	2.132800537109370111e+02
3.150045013427730112e+01	2.152933648681639909e+02
3.099979972839360087e+01	2.173577233886720137e+02
3.049905014038089845e+01	2.194630300903320119e+02
2.999930000305180045e+01	2.216223211669920090e+02
2.950029945373540130e+01	2.238408947753910070e+02
2.900325012207029829e+01	2.260970755004879891e+02
2.850414943695070136e+01	2.284377276611330103e+02
2.800230026245120030e+01	2.308192327880859978e+02
2.750464916229249823e+01	2.332895953369140045e+02
2.701364994049070134e+01	2.357447116088870018e+02
2.649984931945800071e+01	2.383940148925780136e+02
2.600029945373540130e+01	2.410842077636719978e+02
2.549984931945800071e+01	2.437960012817380004e+02
2.501249980926510119e+01	2.465572125244140125e+02
2.450844955444339845e+01	2.494639437866210017e+02
2.400119972228999998e+01	2.524583850097660047e+02
2.349449920654300072e+01	2.554992440795899995e+02
2.300049972534180043e+01	2.586431091308589885e+02
2.250104999542239881e+01	2.618957336425780227e+02
2.199945068359379974e+01	2.652432794189450078e+02
2.150089931488039952e+01	2.687368945312500159e+02
2.099965000152590022e+01	2.723542883300780204e+02
2.050155067443850143e+01	2.760783361816410206e+02
1.999934959411620028e+01	2.799530517578119770e+02
1.975059986114500177e+01	2.819026306152339885e+02
1.950139999389649859e+01	2.840097845458980146e+02
1.925100040435789950e+01	2.860302606201170192e+02
1.899989986419679866e+01	2.881172515869139943e+02
1.875020027160639913e+01	2.902610845947269809e+02
1.850119972228999998e+01	2.924626287841800263e+02
1.825000000000000000e+01	2.946938549804689842e+02
1.800039958953859909e+01	2.969865203857419829e+02
1.775074958801269887e+01	2.993468939208980260e+02
1.750030040740969994e+01	3.017664837646480009e+02
1.725034999847409978e+01	3.042327844238279795e+02
1.699979972839360087e+01	3.067718670654300013e+02
1.675040054321290128e+01	3.093495153808589748e+02
1.650040054321290128e+01	3.119972741699219796e+02
1.625010013580320134e+01	3.147017901611329762e+02
1.599940013885500001e+01	3.174728973388670283e+02
1.575010013580319956e+01	3.203047277832030204e+02
1.549965000152590022e+01	3.231965502929689933e+02
1.525019979476929954e+01	3.261784259033199760e+02
1.500055027008060016e+01	3.292517199707029931e+02
1.475049972534180043e+01	3.324059344482420215e+02
1.449970006942749912e+01	3.356149011230469910e+02
1.425085020065309926e+01	3.389384240722660024e+02
1.400015020370480023e+01	3.423349743652340180e+02
1.374989986419680044e+01	3.458513024902339907e+02
1.350099992752079991e+01	3.494573010253910184e+02
1.324955034255980024e+01	3.531879132080080126e+02
1.300015020370480023e+01	3.570365850830079921e+02
1.275029993057250088e+01	3.609919110107420011e+02
1.249970006942749912e+01	3.650971356201170011e+02
1.225024986267090021e+01	3.693242712402339976e+02
1.200040006637570045e+01	3.736974310302729805e+02
1.174989986419680044e+01	3.782387499999999818e+02
1.150029993057250088e+01	3.829786566162110262e+02
1.124945020675660068e+01	3.878800622558590021e+02
1.100019979476929954e+01	3.929481268310549922e+02
1.075034999847409978e+01	3.982320794677730191e+02
1.050005006790160067e+01	4.037038671875000091e+02
1.024965000152590022e+01	4.094294769287109830e+02
9.999899864196779120e+00	4.154278735351559817e+02
9.699800014495849609e+00	4.229749401855469841e+02
9.399850368499759412e+00	4.309424597167969750e+02
9.100250244140630329e+00	4.394330932617190228e+02
8.800149917602540839e+00	4.484488226318359807e+02
8.500049591064449572e+00	4.580464843749999773e+02
8.200799942016599786e+00	4.682960064697269900e+02
7.899450063705439895e+00	4.792432788085940274e+02
7.598400115966800428e+00	4.910281634521480214e+02
7.300650119781489700e+00	5.038163519287110148e+02
6.999899864196780008e+00	5.176610839843749545e+02
6.697650194168089932e+00	5.333853552246090430e+02
6.401300191879269796e+00	5.504046472167970023e+02
6.101150035858149856e+00	5.682082116699219796e+02
5.799900054931639737e+00	5.878135925292970114e+02
5.500649929046629971e+00	6.098729736328130002e+02
5.203349828720090109e+00	6.334737597656250045e+02
4.898700237274169922e+00	6.608117321777340294e+02
