# Temperature (K) 	 M/H in emu (multiply by field in Oe)
9.551248931884769888e+01	6.394704981130075677e-14
9.568035507202149859e+01	3.498316088967753080e-13
9.584172821044920454e+01	-1.198627359256947991e-13
9.600294494628910513e+01	4.078254578722817154e-14
9.617194366455079546e+01	-2.861345015496495990e-15
9.633522796630859375e+01	-5.459306314200756728e-14
9.650586318969730826e+01	-4.674365325642554880e-13
9.668061065673829546e+01	2.929765900019456215e-13
9.685998916625980826e+01	3.939749008885100044e-13
9.704147338867191763e+01	-2.005932845511791804e-13
9.720133972167970171e+01	2.804724090944990283e-13
9.736289978027339487e+01	2.629108920513387178e-13
9.751839828491209516e+01	-1.643697696027265130e-14
9.768521118164058237e+01	4.989714750791600200e-13
9.784542465209959516e+01	6.406622189845315777e-15
9.800346374511720171e+01	4.498344243937116415e-13
9.816702651977540484e+01	-1.765628333265824780e-13
9.833455276489259234e+01	-2.563133945959513476e-13
9.849434280395509234e+01	3.143914651879264397e-14
9.866145324707029829e+01	2.850268896028688817e-13
9.882582092285160513e+01	-3.037842014616639329e-13
9.899697875976558237e+01	-1.658900640135490095e-15
9.916662597656250000e+01	2.720238719594780916e-13
9.932911300659179688e+01	3.115726016130868519e-13
9.950473022460941763e+01	-3.879894132060602570e-14
9.967778015136720171e+01	1.055068106587346164e-13
9.984631347656250000e+01	1.338723739393021296e-14
1.000121955871579900e+02	7.171865848065856435e-14
1.001770210266110013e+02	1.731931637219637934e-13
1.003462219238279971e+02	-8.636647291355268366e-14
1.005136985778809873e+02	-5.076008868646572182e-13
1.006850967407229973e+02	-1.709206635169249060e-13
1.008369331359860013e+02	-1.955988398647303996e-13
1.010001678466800143e+02	1.362799527241678330e-13
1.011687622070310084e+02	-4.905397240560464566e-13
1.013336715698240056e+02	2.215688822617097066e-14
1.014984245300289984e+02	5.937226108645219715e-13
1.016639289855960016e+02	-2.744657549842170808e-13
1.018309974670410014e+02	2.852733500527008657e-15
1.019925384521479970e+02	1.183442528089979321e-13
1.021512260437010013e+02	-1.025556701153845679e-13
1.023202781677249931e+02	9.152451805635824731e-14
1.024890365600589917e+02	-1.621622859390950586e-13
1.026508407592770027e+02	-1.761139774818440447e-13
1.028228912353520030e+02	1.097733281575946866e-15
1.029875373840329900e+02	-2.678505462343023465e-13
1.031549758911129970e+02	1.682958445406269994e-14
1.033284072875979973e+02	-2.176148087089046954e-14
1.035002517700199860e+02	3.189183493875511375e-13
1.036668243408199857e+02	3.555631625533331663e-13
1.038262367248539988e+02	-3.709983956711502130e-13
1.039991073608400001e+02	4.141412965910306545e-13
1.041651000976560084e+02	-2.282275794958435488e-13
1.043138732910160087e+02	-6.759626811932262106e-14
1.044776763916020030e+02	6.505806250426286023e-14
1.046483535766599999e+02	-4.522887024330884016e-13
1.048193016052249931e+02	1.093954625841375305e-13
1.049779014587400070e+02	5.272935192060565235e-14
1.051442451477050071e+02	3.878119375035890754e-13
1.053091011047360013e+02	-5.223050836160695253e-14
1.054747734069819955e+02	-1.177012432834715526e-13
1.056390304565430114e+02	-8.101744688150530547e-13
1.058089294433589913e+02	-1.000727571021482596e-13
1.059796867370610016e+02	-2.341059115050940913e-13
1.061602172851560084e+02	-5.029454888745295684e-14
1.063338127136230042e+02	1.025818382380268510e-13
1.065006256103520030e+02	-4.532555502258889043e-13
1.066675453186039988e+02	1.249453771471738343e-13
1.068319511413569955e+02	-1.846528362995863448e-13
1.069970130920410014e+02	-5.425959843490922777e-13
1.071483039855960016e+02	1.402495915491450212e-13
1.073173713684079900e+02	1.394661503620088090e-14
1.074935150146479970e+02	-5.980100901992323524e-13
1.076648139953610013e+02	-1.089723699945686905e-13
1.078185653686520027e+02	-6.127484114369970627e-13
1.079757575988769958e+02	7.726141621441636656e-16
1.081345252990719956e+02	-2.520113627013163261e-13
1.083034515380859943e+02	4.440380160064734473e-15
1.084679336547849999e+02	-1.334305669932871830e-13
1.086264190673829972e+02	-2.459532254086771880e-14
1.088011436462400070e+02	-4.918154715761466017e-13
1.089735870361329972e+02	-2.360095702930042813e-13
1.091431427001950141e+02	-1.848037737968735875e-13
1.093255081176759944e+02	-2.244961102288863470e-13
1.094748039245610016e+02	1.868626399497847779e-13
1.096475410461430045e+02	-2.715928446246252395e-13
1.098037681579589986e+02	-1.503609743548114511e-13
1.099676742553709943e+02	-3.314263091360635713e-13
1.101341705322270030e+02	-5.883793051290043355e-13
1.102998886108400001e+02	-3.300405851170318089e-13
1.104568748474119957e+02	-4.160093279083245999e-13
1.106305274963380043e+02	-4.458264708321725966e-13
1.107947349548339986e+02	-6.398719659649568960e-13
1.109599952697750069e+02	4.267620836176815481e-14
1.111233444213870030e+02	-9.934040038153343001e-13
1.112837486267089986e+02	-1.617448480312426138e-13
1.114538078308110016e+02	-5.608828394231332808e-13
1.116213417053219956e+02	4.732772881313338926e-14
1.117853813171389987e+02	-1.945557219988780315e-13
1.119506721496579900e+02	-4.929205904606429474e-14
1.121197052001950141e+02	-4.111229846244140138e-13
1.122894401550289984e+02	-5.310791359306273437e-13
1.124583053588870030e+02	3.123022387478296929e-13
1.126312294006349930e+02	-6.927742442140698430e-13
1.127968559265139987e+02	-4.770136966045083223e-13
1.129734497070310084e+02	-2.711488454906955255e-13
1.131247749328610013e+02	-4.445318518790773116e-13
1.132871894836430045e+02	3.734454956364211953e-13
1.134599838256839917e+02	-4.961820253750526662e-13
1.136299171447750069e+02	-5.373138028290427476e-13
1.137900772094729973e+02	2.257526897049343713e-13
1.139660758972170100e+02	-6.537203247571356031e-13
1.141345558166500069e+02	-3.621979070007656277e-13
1.142917137145999931e+02	-3.559081586916086041e-13
1.144487457275390057e+02	-6.518100657004741360e-13
1.146239280700679899e+02	-3.199041361699477431e-13
1.147895927429199929e+02	-2.609655586766876636e-13
1.149567108154300143e+02	-5.609149122357981776e-13
1.151330947875979973e+02	-4.890862765797331755e-13
1.153067626953129974e+02	-4.771765392324792053e-14
1.154796447753910087e+02	-2.485864042005516360e-13
1.156421813964839913e+02	7.627489117921862952e-14
1.158051490783690127e+02	-6.714473931309839946e-13
1.159545059204099999e+02	-3.543811608244634411e-13
1.161269454956049856e+02	-7.357333086717107153e-13
1.162808036804199929e+02	-1.546204739673577481e-13
1.164483909606929899e+02	-8.291907773742751995e-13
1.166098899841309873e+02	3.395851061015265046e-13
1.167794532775880043e+02	-1.711208317727641946e-13
1.169397506713870030e+02	-4.574115316805678472e-13
1.170984802246089913e+02	1.468413702623814748e-13
1.172601966857910014e+02	9.301272945318664972e-14
1.174307098388670028e+02	1.595184481142490841e-13
1.175968894958499931e+02	-5.074327681606689249e-13
1.177616004943849930e+02	-4.544714474552004137e-13
1.179297714233400001e+02	-4.957897992875789203e-13
1.180966262817379970e+02	2.634645652401984269e-13
1.182643585205079972e+02	-7.175619180864102276e-13
1.184388580322270030e+02	-5.422674778609518002e-13
1.186097793579099999e+02	3.430152876749584359e-13
1.187807998657229973e+02	-4.254746202144110862e-13
1.189476852416990056e+02	-3.697201458340195006e-13
1.191152076721190127e+02	4.548275430381913802e-13
1.192713203430180045e+02	-8.970611844891900203e-14
1.194428558349609943e+02	-2.328303242192810657e-15
1.196001091003420100e+02	-8.492681411860968570e-13
1.197668304443359943e+02	1.937473122996526258e-13
1.199302406311039988e+02	-6.298860593131278616e-13
1.200962905883790057e+02	-3.414447760725197236e-13
1.202789802551269958e+02	-5.689518778334404302e-13
1.204445724487300140e+02	-6.227180619566977252e-13
1.206019248962399928e+02	-6.757147303747449270e-13
1.207654266357420028e+02	-2.475580889440524365e-13
1.209384574890139987e+02	-2.739332913139095338e-13
1.211081428527829900e+02	-4.588584727752994125e-13
1.212706871032710012e+02	-1.022259164023963325e-13
1.214350166320800071e+02	4.191785881176113747e-13
1.215975685119630043e+02	-1.992612723022263951e-13
1.217704391479490056e+02	-1.356757507312378940e-12
1.219396972656250000e+02	1.771923929186571238e-13
1.221067771911619957e+02	-3.070856870411027151e-13
1.222624702453610013e+02	-7.708774700915386183e-13
1.224333496093750000e+02	2.027774711641164427e-13
1.225844268798829972e+02	2.111026446209145973e-13
1.227597236633300071e+02	-3.773485005714406364e-13
1.229321975708009944e+02	-5.076064923011871900e-13
1.230943756103520030e+02	5.507623107866169238e-13
1.232537918090819886e+02	1.765365797099511759e-13
1.234255905151370030e+02	-7.763980882914011235e-13
1.235892105102540057e+02	3.321317322398110753e-13
1.237542877197270030e+02	-3.403138247687189352e-13
1.239118309020999931e+02	-2.861857028052602194e-13
1.240766563415530044e+02	-7.516269268996139570e-13
1.242401504516599999e+02	-2.656071924377875776e-13
1.244135704040530044e+02	-1.168428825583189826e-12
1.245933723449710016e+02	-1.855961263445984652e-13
1.247634315490719956e+02	1.922453616240415681e-13
1.249288940429689916e+02	-3.188816776301467814e-13
1.250925788879389984e+02	7.404722129657494502e-14
1.252608299255369957e+02	-4.604781297014260491e-14
1.254179153442379970e+02	-6.085553738552495232e-13
1.255737419128420100e+02	-1.555414355208028389e-14
1.257246131896969956e+02	4.639986368772994679e-13
1.259060478210449929e+02	5.001183192704257840e-13
1.260781822204589986e+02	-3.864064597857485311e-13
1.262368011474609943e+02	8.376334521233523453e-13
1.263990592956539984e+02	7.024470049804499603e-14
1.265619049072270030e+02	1.731694844409417171e-13
1.267265357971190127e+02	-3.628911141082812143e-13
1.268863716125489987e+02	-3.871130927701258269e-13
1.270497016906739987e+02	1.631678231129572529e-13
1.272263488769529971e+02	2.512827091669718278e-14
1.274096031188960012e+02	-1.855960569357381876e-13
1.275721511840819886e+02	-1.233668050608236464e-13
1.277426986694339917e+02	-3.692596086598970698e-13
1.279169616699220029e+02	-6.870624643471113830e-13
1.280819625854490198e+02	3.441733466029309362e-13
1.282497177124020027e+02	3.381821830661458439e-13
1.284181518554690058e+02	-7.994110463172688494e-13
1.285773849487300140e+02	3.256644676092266571e-13
1.287447128295899859e+02	-3.671480757164300497e-13
1.289007415771480112e+02	-5.360236271701507911e-13
1.290695724487300140e+02	2.292985422202352880e-13
1.292268295288089917e+02	2.944322124232681974e-13
1.293819122314449999e+02	-9.226874311823292253e-13
1.295460815429690058e+02	-1.874409396907610366e-13
1.297217330932620030e+02	-2.424246165135832026e-13
1.298877410888669885e+02	-1.149733660812430819e-13
1.300556488037109943e+02	3.420376024659957016e-13
1.302275543212890057e+02	-2.466342525938885148e-13
1.303990783691409945e+02	-9.270698760617918195e-14
1.305642700195309942e+02	-4.488755334689925171e-13
1.307388534545899859e+02	-5.832055241119675282e-13
1.308983764648440058e+02	1.720770297806674382e-13
1.310721282958980112e+02	-1.794835634484720235e-13
1.312414398193359943e+02	-3.312995466587632576e-13
1.314173355102539915e+02	-4.870370080643951284e-13
1.315926666259769888e+02	-7.129096749506861745e-13
1.317583465576169885e+02	-3.692406037416695531e-13
1.319297561645509802e+02	-4.368355826569381535e-13
1.320793838500979973e+02	-6.642113086243425835e-13
1.322463989257809942e+02	-5.183006172212471799e-14
1.324039535522460085e+02	-7.152509728654582726e-13
1.325615463256839917e+02	-6.095553667240378125e-13
1.327241821289059942e+02	-5.206880479312283167e-13
1.328894577026370030e+02	2.976865275452506787e-13
1.330518875122070028e+02	-2.322893417990916350e-13
1.332107772827149859e+02	3.462307657315711629e-13
1.333785858154300001e+02	-2.365872277258029796e-13
1.335434799194339917e+02	-7.475261387115171174e-13
1.337144165039059942e+02	-3.368818102513352639e-13
1.338848419189449999e+02	-6.886107012946635041e-13
1.340538635253909945e+02	-1.181289333756958583e-12
1.342244796752929972e+02	2.060559956992166480e-13
1.344086151123050001e+02	-8.787521164117635462e-13
1.345763168334960085e+02	-3.749252016182231710e-13
1.347320098876949999e+02	-7.539492654952348434e-13
1.348980484008789915e+02	-3.083135658992009970e-13
1.350488815307620030e+02	-2.478224437966057966e-13
1.352235412597659945e+02	-7.270713090169563051e-13
1.353990249633789915e+02	-2.599494051293353412e-13
1.355587310791019888e+02	8.794275228488759780e-14
1.357166290283199999e+02	-3.265514040060643907e-13
1.358797531127929972e+02	1.377710118680107187e-13
1.360370635986330115e+02	7.758844915162989130e-14
1.362009048461910083e+02	-8.605206168726874540e-13
1.363702316284179972e+02	-7.178663698147584295e-13
1.365429229736330115e+02	9.782378492073512000e-13
1.366996307373050001e+02	-7.872269241256724260e-13
1.368665084838870030e+02	-6.398061051752207395e-14
1.370338668823240198e+02	1.188865707719640010e-14
1.372086715698240198e+02	-1.907773063733546780e-13
1.373850021362300140e+02	-1.942340182369025458e-13
1.375628890991210085e+02	-3.552116584684778722e-14
1.377269439697269888e+02	-9.365571396208476346e-13
1.378959732055660083e+02	-3.258978311706019853e-13
1.380541229248050001e+02	-1.523682485558682730e-13
1.382157211303710085e+02	-3.215038292860361218e-13
1.383844680786129970e+02	-4.166998019486880988e-13
1.385549240112300140e+02	8.270823146775008021e-14
1.387161178588870030e+02	-7.046326920151512715e-13
1.388785552978519888e+02	-8.495282356476424207e-13
1.390361633300779829e+02	-6.018330369138015840e-13
1.392018280029300001e+02	-3.367094345283044896e-13
1.393660049438479973e+02	-4.281176923256225803e-13
1.395376663208009802e+02	-4.063400976347758623e-13
1.397026214599609943e+02	-2.766421201145270459e-13
1.398622131347659945e+02	-2.123608584915956498e-13
1.400337829589840055e+02	-1.305877956702564848e-12
1.402183914184570028e+02	-2.992076178754778710e-13
1.403824386596679972e+02	-5.695516555032317821e-13
1.405512008666990198e+02	-2.592967895122845877e-13
1.407113342285159945e+02	-2.783551939439530425e-13
1.408779907226559942e+02	-5.590648332857677279e-13
1.410439605712890057e+02	-5.269926244576820937e-13
1.411947174072269888e+02	-3.289244363660911080e-14
1.413576126098629970e+02	4.470517747390559836e-13
1.415252990722659945e+02	-2.495146305515387799e-13
1.416947937011720171e+02	-4.028400752365883681e-13
1.418562774658199999e+02	-1.302896101454450242e-13
1.420236206054690058e+02	4.915926903476982684e-13
1.421899871826169885e+02	2.749605528575415573e-13
1.423535690307620030e+02	-1.356905589905570770e-13
1.425236740112300140e+02	-7.771145420771160548e-15
1.426895828247070028e+02	-6.946649196593665424e-13
1.428491287231450144e+02	-6.080002326968983968e-13
1.430221710205080115e+02	5.052306479884827504e-14
1.431964187622070028e+02	-9.511388337317414193e-13
1.433635482788089917e+02	-5.600810051419797028e-13
1.435395660400390057e+02	1.731072326224018889e-13
1.437106781005859943e+02	-7.580400922009825511e-13
1.438772201538089917e+02	-1.146162466571550636e-13
1.440368423461910083e+02	1.579501748989581562e-14
1.442007141113279829e+02	-6.034281996313768914e-13
1.443532028198240198e+02	-3.060887604500258174e-13
1.445240097045899859e+02	-5.587653357931317745e-13
1.446947021484379832e+02	1.188732290983617616e-13
1.448593597412109943e+02	2.028179475897588099e-13
1.450204620361330115e+02	-3.651612944355025780e-13
1.451857528686520027e+02	-2.886071001999508810e-13
1.453568267822269888e+02	-4.645152350259200555e-13
1.455173492431640057e+02	-2.256570667385791942e-13
1.456811599731450144e+02	9.216359558182486384e-15
1.458516082763669885e+02	4.957749858052952854e-14
1.460247879028320028e+02	-4.459000737132190692e-13
1.462006072998050001e+02	-1.512651762756797201e-12
1.463626327514649859e+02	1.423752071364668338e-13
1.465286712646480112e+02	-6.621919121419506733e-13
1.467036209106450144e+02	-3.013308928341601311e-14
1.468737258911129970e+02	-9.952848152507904168e-14
1.470366973876949999e+02	1.770404124107667875e-13
1.471909637451169885e+02	-6.457449984799377790e-13
1.473547134399410083e+02	-3.661887935777380098e-13
1.475154571533199999e+02	-2.450563276241898683e-13
1.476935043334960085e+02	-4.972534575270286347e-13
1.478524551391600141e+02	-3.781737531581022583e-13
1.480214157104490198e+02	-5.165222987649476732e-13
1.481779479980470171e+02	-8.690596341946295169e-13
1.483436508178710085e+02	-6.687278139405018853e-13
1.485130996704100141e+02	-7.063694771840349486e-13
1.486854324340820028e+02	-1.355602646168185892e-12
1.488516998291019888e+02	3.986765199268077375e-13
1.490198135375979973e+02	-5.601652168317531060e-13
1.491874008178710085e+02	-2.589673663447592144e-13
1.493581924438479973e+02	-4.519890364842339969e-13
1.495284423828129832e+02	1.011315331397420289e-13
1.497003707885740198e+02	-3.462803539453618545e-14
1.498591232299800140e+02	-9.658022085990233744e-14
1.500277175903320028e+02	1.897906520406490314e-13
1.501957321166990198e+02	1.168365171288168002e-12
1.503503646850589917e+02	-2.995676483451821306e-13
1.505121002197269888e+02	1.604179019246948317e-13
1.506716079711910083e+02	-2.157591586129204312e-13
1.508328475952149859e+02	-6.323353152551591183e-13
1.509924545288089917e+02	-1.472016476704506179e-13
1.511603240966800001e+02	-4.171199800096473875e-14
1.513245849609379832e+02	-1.479070876040773730e-12
1.514895324707029829e+02	-5.877078909930672220e-13
1.516506271362300140e+02	-1.691961097003134355e-12
1.518187789916990198e+02	-4.467135536336599888e-13
1.519869613647460085e+02	-9.824437243301933331e-14
1.521612854003909945e+02	-7.471038861021778960e-13
1.523408432006839917e+02	-9.287555886250404046e-13
1.525110092163089917e+02	-1.038498073251975078e-12
1.526677627563479973e+02	-1.023286021948655628e-12
1.528269805908199999e+02	-7.850734116449036139e-13
1.530080184936520027e+02	-1.034364658090231404e-12
1.531579818725589917e+02	-3.153434870027528664e-13
1.533231887817379970e+02	-8.357414040483504899e-13
1.534833831787109943e+02	-5.680464142780404150e-13
1.536468353271480112e+02	-8.819808437064965061e-14
1.538096771240230112e+02	-2.405675076730122052e-13
1.539835281372070028e+02	-1.109076577790209653e-12
1.541502609252929972e+02	-1.419309889285420959e-12
1.543181152343750000e+02	-4.188767163200750126e-13
1.544833755493160083e+02	-1.079561817872373826e-12
1.546439208984379832e+02	-2.592746193396416495e-13
1.548105010986330115e+02	-1.043464708743165350e-12
1.549898452758789915e+02	-2.639413015231397317e-13
1.551606445312500000e+02	-8.360662074280237582e-13
1.553350601196289915e+02	-1.041088943192324520e-12
1.555012283325199860e+02	-2.952174086466235945e-14
1.556606979370120030e+02	3.193100683369243782e-13
1.558326034545899859e+02	-2.188492746654427024e-14
1.559756774902340055e+02	-1.297482760880339385e-12
1.561380462646480112e+02	-3.756180234539445454e-13
1.563146133422850141e+02	-1.281850773055053849e-13
1.564807128906250000e+02	-8.671351930761860957e-13
1.566445159912109943e+02	-8.004374858880434275e-13
1.568178253173830115e+02	9.822164737693456241e-14
1.569839019775390057e+02	-1.057545277465131684e-12
1.571524124145509802e+02	-5.320831479685418850e-14
1.573155441284179972e+02	9.259526624691134371e-13
1.574942321777340055e+02	-1.014134127881650877e-12
1.576606521606450144e+02	-5.858483243430733071e-13
1.578194427490230112e+02	-7.544943964252272696e-13
1.579907073974609943e+02	-1.261422421588597927e-13
1.581694030761720171e+02	-4.281351640574622122e-14
1.583350372314449999e+02	1.378778849802800021e-14
1.585044250488279829e+02	-9.540376520288998606e-13
1.586659317016600141e+02	7.075528575964066714e-13
1.588334121704100141e+02	-4.980178650603716961e-13
1.589764099121090055e+02	-8.150170192999050570e-13
1.591482620239259802e+02	-7.911527589277313602e-13
1.593108139038089917e+02	5.029963166573320785e-13
1.594733657836910083e+02	-8.970488353498094642e-13
1.596357421875000000e+02	-5.166593784893335650e-13
1.597951126098629970e+02	-1.181143019142198801e-12
1.599592742919919885e+02	3.876155408592829231e-13
1.601360702514649859e+02	-4.604504032873670647e-13
1.603092269897460085e+02	-9.242597692447800317e-13
1.604790191650390057e+02	-5.735674789622818761e-13
1.606437301635740198e+02	-8.283139418125910758e-14
1.608116683959960085e+02	3.133633921934883544e-13
1.609779815673830115e+02	-3.490755099312810780e-13
1.611498794555660083e+02	-2.249120389702378463e-13
1.613207855224609943e+02	-7.328759831551723740e-14
1.614930496215820028e+02	-5.596366688640401527e-14
1.616427154541019888e+02	-5.252409227462358749e-13
1.618123168945309942e+02	-5.398945041660143832e-13
1.619634399414059942e+02	-3.686236235439074860e-13
1.621235275268549856e+02	2.000288459380140681e-14
1.622842483520509802e+02	-4.836220978496931205e-13
1.624437026977539915e+02	-1.542551436480642165e-13
1.626186370849609943e+02	-3.519302770870485317e-13
1.627928009033199999e+02	-3.573843511969639453e-13
1.629535217285159945e+02	-6.474393398863458266e-13
1.631293334960940058e+02	-1.041630579693463593e-12
1.632927780151370030e+02	-5.545956551305151416e-13
1.634586639404300001e+02	-1.620867038655046245e-13
1.636255569458009802e+02	-2.501760712306471586e-13
1.637883071899410083e+02	-6.081543890732642005e-13
1.639542083740230112e+02	1.040268710355429307e-13
1.641268768310550001e+02	5.490282052665547599e-14
1.642953948974609943e+02	-4.777548828243923373e-13
1.644604721069339917e+02	-5.764197827504131959e-13
1.646353683471679972e+02	-8.777003212243519381e-13
1.648039321899410083e+02	-9.691171367068704893e-13
1.649677047729490198e+02	-7.882241511549930570e-13
1.651191406250000000e+02	-4.405796714720972208e-14
1.652847976684570028e+02	-2.100093123331355599e-13
1.654517135620120030e+02	-4.372936399517697497e-14
1.656149673461910083e+02	-7.272907447830436215e-13
1.657787017822269888e+02	-3.378236492880294355e-13
1.659478912353519888e+02	-4.192162573128414758e-13
1.661242218017580115e+02	1.036158295492134382e-12
1.662905273437500000e+02	2.454640431083639738e-13
1.664516830444339917e+02	8.137690274567977500e-14
1.666125106811520027e+02	-1.173735032859984848e-12
1.667799530029300001e+02	-4.965019692463347019e-13
1.669447174072269888e+02	-6.577172321270342646e-13
1.671117324829100141e+02	-5.554312079433812660e-13
1.672849884033199999e+02	-2.991481463871107430e-13
1.674534530639649859e+02	4.140951225428426587e-13
1.676260833740230112e+02	-5.424216960134069727e-13
1.678098373413089917e+02	-5.545753545151609180e-13
1.679854507446289915e+02	-4.172622168101516411e-14
1.681321105957029829e+02	-7.906501148073820827e-13
1.683069229125979973e+02	-7.456738359901605022e-13
1.684650039672850141e+02	-7.880408248085508185e-13
1.686268844604490198e+02	-1.721438046906266526e-13
1.687906188964840055e+02	-7.378050340367269772e-13
1.689512634277340055e+02	-1.360247577138646998e-12
1.691171035766600141e+02	-2.747206215091727933e-14
1.692754440307620030e+02	-7.907500128686134159e-13
1.694382705688479973e+02	-3.584263048869822544e-13
1.696024169921870168e+02	-1.830638085744405726e-14
1.697664108276370030e+02	1.785893144263068291e-13
1.699347839355470171e+02	-9.954941943808653235e-15
1.701015167236330115e+02	4.098938785767066015e-13
1.702705154418950144e+02	-5.854727783110523438e-13
1.704458541870120030e+02	-5.126062914734488611e-13
1.706200485229490198e+02	-5.518341340080104422e-13
1.707919540405270027e+02	-8.081246340987869484e-13
1.709488754272460085e+02	-5.402778620641986766e-13
1.711117553710940058e+02	-8.736884432770481720e-13
1.712817459106450144e+02	-1.937272461230539729e-13
1.714373474121090055e+02	-4.102970612556108720e-13
1.716052856445309942e+02	-1.233550948975657044e-12
1.717656250000000000e+02	-3.403143696433993776e-13
1.719327087402340055e+02	6.086528171081694686e-14
1.720966110229489914e+02	3.008979876626388946e-13
1.722556152343750000e+02	3.975652937367179055e-13
1.724265365600590201e+02	-1.020430125968314666e-12
1.726053466796870168e+02	9.487261382646873841e-14
1.727738189697269888e+02	-2.213072483479403009e-13
1.729384841918949860e+02	1.282720971286905840e-14
1.731071014404300001e+02	6.714585437724659921e-14
1.732776031494139772e+02	3.843061481741259286e-13
1.734483261108399859e+02	-1.060588362713167929e-14
1.736142654418949860e+02	3.606865417897969980e-13
1.737844009399409799e+02	3.894871807927999260e-13
1.739378128051760086e+02	1.306411924223805636e-13
1.741093368530270027e+02	-3.773406415309727990e-13
1.742624359130860228e+02	-1.110208653920438758e-14
1.744296188354489914e+02	8.574880100039946975e-13
1.745985031127929972e+02	-2.192296751276709201e-13
1.747692642211909799e+02	9.136115460069322759e-14
1.749380264282229973e+02	-7.780241583111083859e-14
1.750997543334960085e+02	-7.035268770453842486e-13
1.752639999389649859e+02	8.175120738304257882e-13
1.754300613403320028e+02	-3.971052886271590623e-13
1.755986785888669885e+02	-7.846056971436525170e-13
1.757669372558590055e+02	6.154801469275045651e-13
1.759377441406250000e+02	-6.509402518915715166e-13
1.761154022216800001e+02	-3.923817425163453760e-13
1.762889556884769888e+02	3.252953830874799960e-13
1.764542236328129832e+02	-2.641279425287770603e-13
1.766102981567380255e+02	2.808231060178925696e-13
1.767740859985350141e+02	-6.463355269680745132e-13
1.769463577270510086e+02	-1.495388283896863425e-12
1.771191558837889772e+02	-1.066276812076176518e-12
1.772614669799800140e+02	-7.052615987704779909e-13
1.774263839721679972e+02	-4.560664525069164157e-13
1.775901031494139772e+02	2.237024436549311720e-13
1.777472534179690058e+02	-6.935083384806166486e-13
1.779106674194340201e+02	-1.583632035394528783e-13
1.780861129760739914e+02	-5.994836561813428747e-13
1.782502593994139772e+02	-6.523616060037429723e-14
1.784132614135739914e+02	1.046420141983234684e-12
1.785775756835940058e+02	-1.106188562727238523e-12
1.787423858642580115e+02	-5.535291388909024552e-13
1.789130783081050140e+02	-9.201951742893818771e-13
1.790829238891600141e+02	-5.621089946048226417e-13
1.792574920654300001e+02	3.711690396131121622e-13
1.794320983886719887e+02	-3.673328382070706914e-14
1.795958633422850141e+02	-1.174444678426885347e-12
1.797753372192380255e+02	6.973583404413114492e-14
1.799295196533199999e+02	-5.193116136517042640e-13
1.800934219360350141e+02	-7.434411208637269212e-13
1.802512588500979973e+02	-2.569232378717043728e-13
1.804144897460940058e+02	4.598948894176415999e-14
1.805770874023440058e+02	-4.806408050038107005e-14
1.807469558715820028e+02	-1.095860854527639346e-12
1.809158172607419885e+02	-7.568780250936587900e-13
1.810835037231449860e+02	3.411689696900004041e-13
1.812497482299800140e+02	1.231156726778429385e-13
1.814132156372070028e+02	-9.560201545179743601e-13
1.815880279541019888e+02	-8.269375352700865658e-13
1.817529678344729973e+02	-5.184421467948002227e-13
1.819222183227539915e+02	-2.368964455089722563e-13
1.820937042236330115e+02	1.875383559830781315e-15
1.822626037597659945e+02	-4.133937449067966465e-13
1.824297485351559942e+02	-1.190808679377516839e-12
1.825862045288090201e+02	2.229329705110677134e-13
1.827529678344729973e+02	-1.697687984640518268e-12
1.829104690551760086e+02	-7.776508438923117248e-13
1.830769348144530113e+02	-8.522405837556069611e-13
1.832392578125000000e+02	-6.010079620339226160e-13
1.834050750732419885e+02	-2.356199590450387305e-13
1.835788116455080115e+02	-3.752428713098700100e-13
1.837414321899409799e+02	-3.604708893679409710e-13
1.839072418212889772e+02	-8.764833309815477025e-14
1.840752868652340055e+02	-4.701787110749585305e-13
1.842361297607419885e+02	-8.644383355282535014e-13
1.844018707275389772e+02	-1.643278420727742939e-12
1.845755538940429972e+02	-5.066454438973137405e-13
1.847462310791019888e+02	-6.844872263156781798e-13
1.849195251464840055e+02	-1.642588689453340792e-12
1.850805130004880255e+02	-1.141750200891362004e-12
1.852524948120119745e+02	-8.968581871236168079e-13
1.854207687377929972e+02	-5.827186841315383020e-13
1.855912399291989914e+02	-5.548101165119389611e-13
1.857572326660159945e+02	-1.276570569966757445e-12
1.859321823120119745e+02	-7.839893863132956381e-13
1.860688629150389772e+02	-1.333210036252167706e-12
1.862394866943360228e+02	-7.461650340479402391e-13
1.864020996093750000e+02	-1.337264795032529645e-12
1.865600662231449860e+02	-3.209795417707747981e-13
1.867265090942380255e+02	-8.018268920985136632e-13
1.868885269165039915e+02	-8.762444153268706925e-13
1.870580520629880255e+02	-2.203766919856418741e-12
1.872231597900389772e+02	-5.673361555310699721e-13
1.873910675048830115e+02	-9.086202873618179076e-13
1.875605926513669885e+02	-2.226409333296018895e-13
1.877288208007809942e+02	-8.047851883358581285e-13
1.879081268310550001e+02	-5.067124427190537286e-13
1.880876083374020027e+02	-1.100498526190400106e-12
1.882641296386719887e+02	-7.484600974787537764e-13
1.884330139160159945e+02	-3.319445973333447207e-13
1.885942230224610228e+02	-1.170930327524257886e-12
1.887492980957030113e+02	-4.509149605275180373e-13
1.888990402221679972e+02	-9.920422679837797094e-13
1.890681152343750000e+02	-1.236740333855446292e-12
