# Temperature (K) 	 M/H in emu (multiply by field in Oe)
1.550587654113770064e+01	1.158810865310143860e-11
1.574120569229130062e+01	1.122727835745266190e-11
1.591870880126950105e+01	1.109342592592194933e-11
1.609712791442870028e+01	1.078638691438785747e-11
1.627652931213379972e+01	1.106238449779953815e-11
1.644503974914550071e+01	1.072899313240062913e-11
1.661802864074709873e+01	1.063640173830615939e-11
1.677864360809330080e+01	1.050066286975378292e-11
1.693397235870359907e+01	1.038665465142392219e-11
1.709959411621089842e+01	9.995957165903400428e-12
1.725368022918700106e+01	9.751083839398975134e-12
1.741564273834230292e+01	9.661319083730770343e-12
1.757491779327390091e+01	9.750503843822061347e-12
1.773433971405030007e+01	1.026959835695892311e-11
1.790994071960449929e+01	9.615839968983471053e-12
1.806945800781250000e+01	9.131476496636395430e-12
1.822839832305909979e+01	9.664433430048005201e-12
1.839211273193360086e+01	9.080575221865860457e-12
1.856055259704589844e+01	9.097624904377165318e-12
1.872570800781250000e+01	9.571514490534159517e-12
1.888667201995849965e+01	8.683861635347077727e-12
1.905090522766110084e+01	9.441988686916823015e-12
1.921514606475830078e+01	8.743247204303285088e-12
1.938698005676269887e+01	9.024456553603658107e-12
1.955457401275630147e+01	8.792499377648451768e-12
1.972509956359860084e+01	8.936800405373862735e-12
1.989290618896480112e+01	8.814853704115697179e-12
2.004209613800049894e+01	7.840051635088438972e-12
2.020161914825439808e+01	8.555141635144310352e-12
2.035516738891599786e+01	8.668517052727137958e-12
2.052797317504880326e+01	8.692766369544063147e-12
2.068236923217769885e+01	8.041237170112625726e-12
2.084415817260739701e+01	7.999448851495301775e-12
2.100801753997800247e+01	7.885171743634704039e-12
2.117111873626710050e+01	8.104584373198734130e-12
2.133533954620360262e+01	7.750546303757229849e-12
2.150059795379639738e+01	7.497839519599235207e-12
2.166517829895019887e+01	7.775540925190644063e-12
2.182546710968020065e+01	7.519800977193370454e-12
2.198539638519289952e+01	7.855821061584776503e-12
2.215125274658199928e+01	7.453176964607765069e-12
