[Header]
TITLE, CX1030AA
FILEOPENTIME,25580578.53,10/23/2017,6:38 PM
BYAPP, Resistivity, 2.1, 1.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
INFO, X124321, Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm-m, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm-m, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,25582829.72,4369,379.998748779297,-0.122000001370907,284.35400390625,37.4998183441162,499.990219726562,,,,,,,0.00105056024235753,,,,50,37.4998183441162,,,
,25583586.70,4369,375.008895874023,-0.122000001370907,284.35400390625,37.8628918457031,500,,,,,,,0.000842161381134075,,,,50,37.8628918457031,,,
,25584342.31,4369,370.001541137695,-0.122000001370907,284.35400390625,38.2308311462402,500,,,,,,,0.000667299487477718,,,,50,38.2308311462402,,,
,25585099.33,4369,365.001739501953,-0.122000001370907,284.35400390625,38.6122436523438,500,,,,,,,0.00059952673513419,,,,50,38.6122436523438,,,
,25585855.94,4369,360.002090454102,-0.122000001370907,284.35400390625,38.9960060119629,500,,,,,,,0.000809974410803015,,,,50,38.9960060119629,,,
,25586608.19,4369,355.001251220703,-0.122000001370907,284.35400390625,39.3974304199219,500,,,,,,,0.000603156597169567,,,,50,39.3974304199219,,,
,25587364.36,4369,349.997512817383,-0.122000001370907,284.35400390625,39.8056297302246,500,,,,,,,0.000817885683413517,,,,50,39.8056297302246,,,
,25588122.11,4369,344.996948242188,-0.122000001370907,284.35400390625,40.2274856567383,500,,,,,,,0.000696702005420829,,,,50,40.2274856567383,,,
,25588879.23,4369,340.00456237793,-0.122000001370907,284.35400390625,40.6661415100098,500,,,,,,,0.000778693621169981,,,,50,40.6661415100098,,,
,25589635.42,4369,335.003601074219,-0.122000001370907,284.35400390625,41.119384765625,500,,,,,,,0.000715954756894053,,,,50,41.119384765625,,,
,25590392.94,4369,329.997055053711,-0.122000001370907,284.35400390625,41.5784149169922,500,,,,,,,0.000842909995803236,,,,50,41.5784149169922,,,
,25591150.47,4369,325.008392333984,-0.122000001370907,284.35400390625,42.0459175109863,500,,,,,,,0.000647162013863319,,,,50,42.0459175109863,,,
,25591908.27,4369,320.013000488281,-0.122000001370907,284.35400390625,42.525218963623,500,,,,,,,0.000792649665299852,,,,50,42.525218963623,,,
,25592667.08,4369,315.007354736328,-0.122000001370907,284.35400390625,43.0215377044678,500,,,,,,,0.000747859000570452,,,,50,43.0215377044678,,,
,25593424.13,4369,310.001800537109,-0.122000001370907,284.35400390625,43.5311508178711,500,,,,,,,0.000724039188236325,,,,50,43.5311508178711,,,
,25594177.58,4369,305.002502441406,-0.122000001370907,284.35400390625,44.0568809509277,500,,,,,,,0.000626772289994533,,,,50,44.0568809509277,,,
#,25594934.09,4369,299.999938964844,-0.122000001370907,284.35400390625,44.5991821289063,500,,,,,,,0.000772191218803711,,,,50,44.5991821289063,,,
,25595302.52,4369,300.004943847656,-0.122000001370907,284.35400390625,44.5978965759277,500,,,,,,,0.000752617632177309,,,,50,44.5978965759277,,,
,25596156.86,4369,293.334289550781,-0.122000001370907,284.35400390625,45.3539924621582,500,,,,,,,0.000723395758577074,,,,50,45.3539924621582,,,
,25597011.88,4369,286.671356201172,-0.122000001370907,284.35400390625,46.1466407775879,500,,,,,,,0.000818525948904027,,,,50,46.1466407775879,,,
,25597865.36,4369,280.004547119141,-0.122000001370907,284.35400390625,46.9672889709473,500,,,,,,,0.00075911517113237,,,,50,46.9672889709473,,,
