#  temperature dependence of magnetization of quartz holder at 4T
#   temperature (K) 	 M/H (emu)
2.000642061233520064e+00	5.636153194647500116e-07
2.201073527336120161e+00	5.976900019771449942e-07
2.574824810028080169e+00	5.881275565713939618e-07
2.974175214767460051e+00	5.942051006409749624e-07
3.377225518226619982e+00	5.469456021392489790e-07
3.807308316230769929e+00	5.318539346330849363e-07
4.218012809753419745e+00	4.927685078077260344e-07
4.658710479736329901e+00	5.030787391303429725e-07
5.098322153091429776e+00	5.006593393703970479e-07
5.532440662384030539e+00	4.506299209254329737e-07
5.983826398849489969e+00	4.230581896209870376e-07
6.441081762313840109e+00	4.515463973586549750e-07
6.892920732498169833e+00	4.294027692653589644e-07
7.363584995269779832e+00	4.385178295385789625e-07
7.821185588836669922e+00	3.772398673384699741e-07
8.285469055175779474e+00	3.490423601971619983e-07
8.742381572723390448e+00	3.572168715881149834e-07
9.208245277404779827e+00	3.640610456238940001e-07
9.682841300964359021e+00	3.358072593974419909e-07
1.015084266662599966e+01	3.213707930826350419e-07
1.063590145111080076e+01	3.154877376751619928e-07
1.111188602447509943e+01	2.962628132336969930e-07
1.157284641265869851e+01	2.826580574602330331e-07
1.204481315612790127e+01	2.422249188196229682e-07
1.251052951812740055e+01	2.206896011967199689e-07
1.298135614395140003e+01	2.713003314613419843e-07
1.345908355712890092e+01	3.068833278361119968e-07
1.393470048904419833e+01	2.200001635050619968e-07
1.443343830108639914e+01	2.422663130956089804e-07
1.490741968154909891e+01	2.231168553921289817e-07
1.544331359863280007e+01	2.442494142844739757e-07
1.603123426437380061e+01	2.069865527778860101e-07
1.658049678802489879e+01	2.196943039535269809e-07
1.706395053863530009e+01	1.620773879132570043e-07
1.755373191833500002e+01	1.832310084601629941e-07
1.804103469848630326e+01	1.582024579009369787e-07
1.853920269012450106e+01	2.068050210442060156e-07
1.902530384063719993e+01	1.519776587840389907e-07
1.949036598205569959e+01	1.568760522099779966e-07
1.997329711914060013e+01	1.560656737025890219e-07
2.045678710937500000e+01	1.285871418549469818e-07
2.094672870635989881e+01	1.347615870573809864e-07
2.143261718750000000e+01	1.460803917082609826e-07
2.192224216461180220e+01	1.615003386939199816e-07
2.240912342071530006e+01	1.560060318483339972e-07
2.289108657836910155e+01	1.119150203494540035e-07
2.336251831054689987e+01	1.210000363375669914e-07
2.384995079040530186e+01	1.302539123220880051e-07
2.433829784393310192e+01	1.290225197692459997e-07
2.481988716125489702e+01	1.327259900757519931e-07
2.530430698394780009e+01	1.214946238754509813e-07
2.578522777557369849e+01	1.109762247393349902e-07
2.627874469757080078e+01	1.135043669818089910e-07
2.676384830474850318e+01	1.063740164701849999e-07
2.723998260498050072e+01	9.933790706799189650e-08
2.772427940368649857e+01	1.084056249234619847e-07
2.821332740783689985e+01	8.797137792911141108e-08
2.870652103424069779e+01	1.135161941353240064e-07
2.920660781860350141e+01	6.383861678591441486e-08
2.968071937561029827e+01	8.949823412815800423e-08
3.016536998748780363e+01	7.496202265897149631e-08
3.063896465301510474e+01	8.404473058778240272e-08
3.111997604370120030e+01	8.873806851326670043e-08
3.160942268371580255e+01	7.976290395728719246e-08
3.210301685333249821e+01	8.876629684867949059e-08
3.258946418762210584e+01	7.804991085819799809e-08
3.307786560058590197e+01	5.791779443920799395e-08
3.356258392333980112e+01	7.121047213353500086e-08
3.405861854553219814e+01	7.937464141465170714e-08
3.454837226867680045e+01	4.800826523249940414e-08
3.502881431579589844e+01	8.126632181126279320e-08
3.551894950866699929e+01	5.417346345594279748e-08
