[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3738622276.68344,06/20/2018,2:11 am
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty quartz,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3738622355.69016,2.00074768066406,40000.328125,5.5124315942646E-7,4.33111785967813E-8,1,10,13.2042255401611,3.98052434871178,32.3400013148785,0.000488665227149279,6.0190114891807E-5,1,-1.34176802555586E-8,2.00074768066406,2.00074768066406,40000.328125,40000.328125,51.3025786739766,5.51570675232781,2.47544455528259,132,1,0,0,1,0.236129760742187,30.3030319213867,1,1,1,2.00074768066406,0,2.00074768066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622362.68616,2.18120455741882,40000.328125,5.95386188747866E-7,4.27142260252045E-8,1,10,13.2042255401611,3.98052530127943,32.3400013148785,0.000525534942162421,8.03006104795931E-5,1,2.8185452764629E-9,2.01432013511658,2.34808897972107,40000.328125,40000.328125,51.2263698933516,5.51574162983674,2.64686989784241,132,1,0,0,1,0.24200439453125,30.3030319213867,6,1,1,2.34808897972107,0,2.18120455741882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622371.99123,2.54118597507477,40000.328125,6.02493611638027E-7,4.05554175814173E-8,1,10,13.2042255401611,3.98050869321032,32.3400013148785,0.000537084129361767,4.55782535852471E-5,1,-3.75426133398433E-8,2.34808897972107,2.73428297042847,40000.328125,40000.328125,51.2834287752554,5.51562249383332,2.84347534179687,132,1,0,0,1,0.242691040039062,31.2805480957031,6,1,1,2.73428297042847,0,2.54118597507477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622381.99143,2.93283939361572,40000.328125,5.26270449902089E-7,4.39596561431762E-8,1,10,13.2042255401611,3.98051283848615,32.3400013148785,0.000467841711867006,4.85658163099043E-5,1,-2.28826607219679E-8,2.73428297042847,3.13139581680298,40000.328125,40000.328125,51.1611039119958,5.51602615572585,3.02424669265747,132,1,0,0,1,0.236663818359375,29.3255138397217,6,1,1,3.13139581680298,0,2.93283939361572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622391.98335,3.34270167350769,40000.328125,5.28813963668704E-7,3.86991621444982E-8,1,10,13.2042255401611,3.98046996927975,32.3400013148785,0.000464200870591589,8.86347677121856E-5,1,2.21058663346933E-8,3.13979458808899,3.54560875892639,40000.328125,40000.328125,51.1185051576977,5.51577716741455,3.20650029182434,132,1,0,0,1,0.239639282226562,30.7917900085449,6,1,1,3.54560875892639,0,3.34270167350769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622402.13319,3.7639467716217,40000.328125,5.34973227889951E-7,4.07003202033583E-8,1,10,13.2042255401611,3.9804601373443,32.3400013148785,0.000476317492212736,4.43036762455367E-5,1,-2.89945174950525E-8,3.54560875892639,3.98228478431702,40000.328125,40000.328125,51.0544116191208,5.5156326650273,3.35698771476746,132,1,0,0,1,0.235748291015625,31.2805480957031,6,1,1,3.98228478431702,0,3.7639467716217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622412.14139,4.1858104467392,40000.328125,4.71314665763121E-7,4.05936465342812E-8,1,10,13.2042255401611,3.98043481128032,32.3400013148785,0.000415284536466062,6.84305365312025E-5,1,7.74023167767637E-9,3.98228478431702,4.38933610916138,40000.328125,40000.328125,51.0239281068708,5.51596352056004,3.50692081451416,132,1,0,0,1,0.23712158203125,30.3030319213867,6,1,1,4.38933610916138,0,4.1858104467392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622421.97468,4.61369132995605,40000.328125,5.08168346633879E-7,3.85559604317665E-8,1,10,13.2042255401611,3.980420886333,32.3400013148785,0.000452152287372329,4.40576897092181E-5,1,-2.53062593174343E-8,4.39881610870361,4.8285665512085,40000.328125,40000.328125,50.9770303957169,5.51570877253859,3.64373874664307,132,1,0,0,1,0.233001708984375,30.3030319213867,6,1,1,4.8285665512085,0,4.61369132995605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622432.0665,5.05177402496338,40000.328125,4.35811174395851E-7,3.98719120235529E-8,1,10,13.2042255401611,3.98039822897383,32.3499999940395,0.000385102008084004,5.5800144541061E-5,1,-1.30550762200726E-9,4.8285665512085,5.27498149871826,40000.328125,40000.328125,50.9875823807266,5.51611608527791,3.76376247406006,132,1,0,0,1,0.23590087890625,30.7917900085449,6,1,1,5.27498149871826,0,5.05177402496338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738622442.05488,5.4971342086792,40000.328125,5.26812751914513E-7,3.96487620576065E-8,1,10,13.2042255401611,3.98041686237254,32.3400013148785,0.000472297790579491,2.16329199936736E-5,1,-5.345340532513E-8,5.27498149871826,5.71928691864014,40000.328125,40000.328125,50.9715589960823,5.51539457690586,3.88129496574402,132,1,0,0,1,0.234909057617187,31.2805480957031,6,1,1,5.71928691864014,0,5.4971342086792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
