[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3738596285.68454,06/19/2018,6:58 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty quartz,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3738596451.41169,6.11113023757935,19999.732421875,2.6902324169262E-7,1.7219374064726E-8,1,10,13.2042255401611,4.01134081451445,32.3400013148785,0.000239907922848531,4.00716589998425E-5,1,5.00719601864787E-9,5.87412977218628,6.34813070297241,19999.732421875,19999.732421875,50.7343347404958,5.51783802456981,4.02957534790039,132,1,0,0,1,0.235443115234375,31.7693061828613,6,1,1,6.34813070297241,0,6.11113023757935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596461.40618,6.57068634033203,19999.732421875,2.13718903224457E-7,1.95343570746487E-8,1,10,13.2042255401611,4.01135657519574,32.3400013148785,0.000193207773481881,1.41423207434623E-5,1,-1.58063088565655E-8,6.35859823226929,6.78277444839478,19999.732421875,19999.732421875,50.6694595733996,5.5178663138368,4.12202215194702,132,1,0,0,1,0.235671997070313,29.3255138397217,6,1,1,6.78277444839478,0,6.57068634033203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596471.20325,7.01167607307434,19999.732421875,2.43097203851339E-7,1.78979490962779E-8,1,10,13.2042255401611,4.01133263700176,32.3400013148785,0.000217767819237677,2.9581064169265E-5,1,-2.88810356556255E-9,6.78277444839478,7.24057769775391,19999.732421875,19999.732421875,50.6858737723034,5.51960358217888,4.20746898651123,132,1,0,0,1,0.238571166992187,31.7693061828613,6,1,1,7.24057769775391,0,7.01167607307434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596481.2319,7.47402167320252,19999.732421875,2.09293492974458E-7,1.98634094453434E-8,1,10,13.2042255401611,4.01138450613592,32.3400013148785,0.000187184809709722,2.75318022634272E-5,1,-1.78887728012463E-10,7.24057769775391,7.70746564865112,19999.732421875,19999.732421875,50.6706320161784,5.51887938346547,4.29947566986084,132,1,0,0,1,0.237960815429687,30.7917900085449,6,1,1,7.70746564865112,0,7.47402167320252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596491.2262,7.94342422485352,19999.732421875,2.05040420159789E-7,2.01611472649393E-8,1,10,13.2042255401611,4.01137512221933,32.3400013148785,0.000183868815104083,2.36706600121519E-5,1,-3.8672513988765E-9,7.71588897705078,8.17095947265625,19999.732421875,19999.732421875,50.6823564439669,5.51798783656925,4.38142967224121,132,1,0,0,1,0.235519409179687,31.7693061828613,6,1,1,8.17095947265625,0,7.94342422485352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596501.18581,8.39810228347778,19999.732421875,2.05072176684738E-7,1.72171007028101E-8,1,10,13.2042255401611,4.01132225837233,32.3400013148785,0.000184291313915099,2.09846432716572E-5,1,-6.8751144288086E-9,8.17095947265625,8.62524509429932,19999.732421875,19999.732421875,50.5819171792457,5.51895459977212,4.44487285614014,132,1,0,0,1,0.234375,31.2805480957031,6,1,1,8.62524509429932,0,8.39810228347778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596511.19954,8.85346984863281,19999.732421875,2.12776153641785E-7,1.95304391426978E-8,1,10,13.2042255401611,4.01140853731351,32.3400013148785,0.000190747015819105,2.49783840163977E-5,1,-3.54980531558834E-9,8.62524509429932,9.08169460296631,19999.732421875,19999.732421875,50.714794027515,5.51899718110653,4.52355098724365,132,1,0,0,1,0.239944458007813,31.7693061828613,6,1,1,9.08169460296631,0,8.85346984863281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596521.21343,9.31606960296631,19999.732421875,1.97440498512164E-7,1.97623912934766E-8,1,10,13.2042255401611,4.01134450734314,32.3400013148785,0.000177304144398451,2.10852999264202E-5,1,-5.63360139718396E-9,9.08169460296631,9.55044460296631,19999.732421875,19999.732421875,50.6190445339092,5.51884434867743,4.5853853225708,132,1,0,0,1,0.237808227539062,31.2805480957031,6,1,1,9.55044460296631,0,9.31606960296631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596531.34489,9.7999415397644,19999.732421875,1.70058668436827E-7,1.78632280479085E-8,1,10,13.2042255401611,4.011387973079,32.3400013148785,0.000152826312034072,1.74262650471714E-5,1,-5.67440002461045E-9,9.56007766723633,10.0398054122925,19999.732421875,19999.732421875,50.6272516333611,5.51914402299167,4.65058946609497,132,1,0,0,1,0.2362060546875,30.7917900085449,6,1,1,10.0398054122925,0,9.7999415397644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596541.33214,10.2675857543945,19999.732421875,1.59981459143395E-7,2.03444526403419E-8,1,10,13.2042255401611,4.01136398663802,32.3400013148785,0.000145142735064442,7.10792950390899E-6,1,-1.57218251227732E-8,10.0398054122925,10.4953660964966,19999.732421875,19999.732421875,50.6557810743131,5.52013038292949,4.70901679992676,132,1,0,0,1,0.233612060546875,31.2805480957031,6,1,1,10.4953660964966,0,10.2675857543945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596551.17966,10.7307868003845,19999.732421875,1.58825978026747E-7,1.82440075855601E-8,1,10,13.2042255401611,4.01139973033033,32.3400013148785,0.000144859413927406,1.90019038994513E-6,1,-2.13745109100506E-8,10.4953660964966,10.9662075042725,19999.732421875,19999.732421875,50.5893426501784,5.51843884259041,4.76146507263184,132,1,0,0,1,0.2337646484375,31.2805480957031,6,1,1,10.9662075042725,0,10.7307868003845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596561.17158,11.2023944854736,19999.732421875,1.56516021201488E-7,1.91026190570477E-8,1,10,13.2042255401611,4.01136877105074,32.3400013148785,0.000140918428973123,1.42572321835456E-5,1,-7.2143263498028E-9,10.9662075042725,11.4385814666748,19999.732421875,19999.732421875,50.64874641764,5.51952762045683,4.81467056274414,132,1,0,0,1,0.239486694335938,31.2805480957031,6,1,1,11.4385814666748,0,11.2023944854736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596571.1638,11.6731119155884,19999.732421875,1.56149971118706E-7,1.73705581709374E-8,1,10,13.2042255401611,4.01139467335194,32.3400013148785,0.000140409804033479,1.54439866346836E-5,1,-5.83324451899728E-9,11.4385814666748,11.907642364502,19999.732421875,19999.732421875,50.5983313781496,5.51885979244591,4.86659908294678,132,1,0,0,1,0.240020751953125,30.7917900085449,6,1,1,11.907642364502,0,11.6731119155884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596581.16644,12.1462106704712,19999.732421875,1.4999533206061E-7,1.75399382447081E-8,1,10,13.2042255401611,4.01131950769524,32.3400013148785,0.000133031573848498,2.72706150532968E-5,1,8.30339552833511E-9,11.907642364502,12.3847789764404,19999.732421875,19999.732421875,50.5760549653515,5.51805217529454,4.91100072860718,132,1,0,0,1,0.240097045898438,30.7917900085449,6,1,1,12.3847789764404,0,12.1462106704712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738596591.17501,12.622416973114,19999.732421875,1.35138653031499E-7,1.84626146651332E-8,1,10,13.2042255401611,4.01135278866602,32.3400013148785,0.000122421525227055,7.23489131999708E-6,1,-1.19041491965224E-8,12.3847789764404,12.8600549697876,19999.732421875,19999.732421875,50.6628157309861,5.51854595933539,4.95987272262573,132,1,0,0,1,0.238723754882813,31.7693061828613,6,1,1,12.8600549697876,0,12.622416973114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
