[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3738609271.68124,06/19/2018,10:34 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 388, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,empty quartz,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3738609349.67379,2.00064206123352,39999.578125,5.6361531946475E-7,3.38803336082372E-8,1,10,13.2042255401611,3.98074409857696,32.3400013148785,0.000492010087640215,0.000113364816943371,1,4.4940672070148E-8,2.00064206123352,2.00064206123352,39999.578125,39999.578125,51.3299356721497,5.51647179664084,2.45867991447449,130,1,68,0,0,0.236587524414062,31.2805480957031,1,1,1,2.00064206123352,0,2.00064206123352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609356.99588,2.20107352733612,39999.578125,5.97690001977145E-7,3.87327037199615E-8,1,10,13.2042255401611,3.98074249358794,32.3400013148785,0.000523779908408721,0.00010653518616993,1,3.21678776229039E-8,2.02536177635193,2.37678527832031,39999.578125,39999.578125,51.2810838896977,5.51573279787443,2.64176440238953,132,1,0,0,1,0.239486694335938,30.3030319213867,6,1,1,2.37678527832031,0,2.20107352733612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609366.61949,2.57482481002808,39999.578125,5.88127556571394E-7,3.69752848726942E-8,1,10,13.2042255401611,3.98074473961679,32.3400013148785,0.000523192453741731,5.2166564206513E-5,1,-2.79638395863809E-8,2.37678527832031,2.77286434173584,39999.578125,39999.578125,51.1673569401496,5.51585335794141,2.8404529094696,132,1,0,0,1,0.240936279296875,30.3030319213867,6,1,1,2.77286434173584,0,2.57482481002808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609376.62072,2.97417521476746,39999.578125,5.94205100640975E-7,4.00456642616939E-8,1,10,13.2042255401611,3.98074281648599,32.3400013148785,0.000524048272268442,8.34598101424826E-5,1,6.56163982631635E-9,2.77286434173584,3.17548608779907,39999.578125,39999.578125,51.1818170677554,5.51524537885406,3.02602910995483,132,1,0,0,1,0.239639282226562,32.2580642700195,6,1,1,3.17548608779907,0,2.97417521476746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609386.63047,3.37722551822662,39999.578125,5.46945602139249E-7,3.53282452870292E-8,1,10,13.2042255401611,3.98079528629894,32.3499999940395,0.000480185102128991,9.16500617761806E-5,1,2.28233671136644E-8,3.17548608779907,3.57896494865417,39999.578125,39999.578125,51.1298387712266,5.51567579802648,3.19966554641724,132,1,0,0,1,0.238037109375,30.3030319213867,6,1,1,3.57896494865417,0,3.37722551822662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609396.83959,3.80730831623077,39999.578125,5.31853934633085E-7,3.94550759279333E-8,1,10,13.2042255401611,3.98077810335319,32.3400013148785,0.000469613535690975,7.09989141639361E-5,1,1.67977280186199E-9,3.60860419273376,4.00601243972778,39999.578125,39999.578125,51.11616027214,5.5155423858137,3.34454393386841,132,1,0,0,1,0.233612060546875,32.2580642700195,6,1,1,4.00601243972778,0,3.80730831623077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609406.63536,4.21801280975342,39999.578125,4.92768507807726E-7,3.6276611700115E-8,1,10,13.2042255401611,3.98077194819123,32.3400013148785,0.000432576264231694,8.2845244815389E-5,1,2.08730801345447E-8,4.00601243972778,4.43001317977905,39999.578125,39999.578125,51.0317443920631,5.51537468444794,3.49359560012817,132,1,0,0,1,0.239334106445313,30.7917900085449,6,1,1,4.43001317977905,0,4.21801280975342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609416.67847,4.65871047973633,39999.578125,5.03078739130343E-7,3.47487887376104E-8,1,10,13.2042255401611,3.98072384967892,32.3400013148785,0.000448659796320027,3.69871940282018E-5,1,-3.25633034737732E-8,4.43840980529785,4.8790111541748,39999.578125,39999.578125,51.0165026359381,5.51463177968966,3.63260388374329,132,1,0,0,1,0.236358642578125,30.7917900085449,6,1,1,4.8790111541748,0,4.65871047973633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609426.69936,5.09832215309143,39999.578125,5.00659339370397E-7,3.66913997703189E-8,1,10,13.2042255401611,3.98075125067529,32.3400013148785,0.000443186254568982,5.92538672347674E-5,1,-6.99951504848186E-9,4.89143133163452,5.30521297454834,39999.578125,39999.578125,51.0063414651881,5.51543146148836,3.75738620758057,132,1,0,0,1,0.234909057617187,31.7693061828613,6,1,1,5.30521297454834,0,5.09832215309143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738609436.59081,5.53244066238403,39999.578125,4.50629920925433E-7,3.75098866582252E-8,1,10,13.2042255401611,3.9807576694729,32.3499999940395,0.00040236519796917,2.99192410743798E-5,1,-3.28047417775982E-8,5.30521297454834,5.75966835021973,39999.578125,39999.578125,50.9352132699381,5.51492436779884,3.86138558387756,132,1,0,0,1,0.2398681640625,30.7917900085449,6,1,1,5.75966835021973,0,5.53244066238403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
