#  temperature dependence of magnetization of quartz holder at 6T
#   temperature (K) 	 M/H (emu)
2.000747680664060280e+00	5.512431594264599951e-07
2.181204557418820134e+00	5.953861887478660642e-07
2.541185975074770287e+00	6.024936116380269985e-07
2.932839393615720436e+00	5.262704499020890311e-07
3.342701673507689986e+00	5.288139636687039885e-07
3.763946771621700105e+00	5.349732278899510860e-07
4.185810446739200330e+00	4.713146657631210306e-07
4.613691329956050247e+00	5.081683466338790242e-07
5.051774024963379794e+00	4.358111743958510605e-07
5.497134208679200107e+00	5.268127519145130617e-07
5.949672222137450284e+00	4.166308586805539498e-07
6.405125141143799716e+00	4.260872315761170161e-07
6.856693744659420275e+00	3.764788299852179362e-07
7.320394277572629171e+00	3.789084862061139897e-07
7.776934623718259054e+00	4.201281198299800002e-07
8.236397266387941229e+00	3.595783499809620259e-07
8.700878620147710407e+00	3.083944299872959881e-07
9.166326522827150214e+00	3.242857202868510292e-07
9.637761592864990234e+00	3.663892512099999784e-07
1.011376380920409979e+01	3.187391037485030401e-07
1.058884620666499998e+01	3.233928702067030062e-07
1.106333255767819956e+01	2.936354781393320316e-07
1.153943920135500001e+01	3.039552972599850268e-07
1.199938583374019885e+01	2.655543213364220015e-07
1.246932029724119850e+01	2.157354803462040046e-07
1.294524765014650036e+01	2.624347669774310013e-07
1.341698074340819780e+01	2.687003716761819944e-07
1.391057729721069869e+01	2.512157094569289531e-07
1.437420558929439984e+01	2.139742253177050150e-07
1.485554027557370027e+01	1.866720022057369968e-07
1.542157316207890005e+01	2.228355641087560172e-07
1.600700712203979847e+01	2.101983514711930102e-07
1.652377128601069955e+01	2.311257508339919958e-07
1.702746105194090021e+01	1.882218338683300084e-07
1.752280139923099966e+01	1.859979852513230076e-07
1.801477909088130147e+01	2.197224157934579913e-07
1.848257541656489877e+01	1.763889855385730126e-07
1.896930313110349786e+01	1.732281966724380071e-07
1.945760345458980112e+01	2.056425230306719901e-07
1.993416118621830080e+01	1.626101147903800104e-07
2.041536426544189808e+01	1.441796028078859930e-07
2.090140247344969993e+01	1.621749207629220022e-07
2.138878536224369853e+01	1.390645656565019833e-07
2.187724685668949931e+01	1.535319779760449827e-07
2.235979270935060015e+01	1.148556598278500069e-07
2.284732437133790128e+01	1.457865771704769823e-07
2.333550548553469994e+01	1.446080960296430010e-07
2.381563758850100143e+01	1.440966571375669879e-07
2.429186058044430396e+01	1.273947547739239896e-07
2.477257537841800072e+01	1.195940721031909818e-07
2.526603794097900035e+01	1.120834303175309830e-07
2.575970077514649859e+01	1.228811399254830229e-07
2.622154331207280009e+01	1.048135003028260056e-07
2.672171592712399857e+01	1.056917134288800010e-07
2.721092510223389738e+01	1.230417513323469766e-07
2.769467353820799715e+01	1.233990604334820128e-07
2.817641925811770065e+01	1.106148148730469984e-07
2.866325759887699931e+01	9.685244282452778602e-08
2.915598297119139559e+01	9.372619344823301443e-08
2.964132213592530363e+01	8.000113542853579518e-08
3.011936187744139559e+01	8.996894377333599353e-08
3.059988498687739877e+01	9.733568119288840716e-08
3.108210372924800069e+01	9.332056742959250228e-08
3.156684494018550069e+01	7.195373770957029546e-08
3.205464076995850320e+01	7.048569077262758837e-08
3.253801345825200286e+01	9.502622388002050806e-08
3.303629302978519888e+01	7.500884007158339839e-08
3.354583740234379974e+01	8.683285421131130171e-08
3.401379585266109729e+01	7.002365008027130715e-08
3.448798179626459870e+01	8.045699051970870540e-08
3.497318267822269888e+01	7.100049591438700491e-08
3.545951652526860443e+01	9.062022337400499087e-08
3.595833778381349788e+01	8.729276818436600363e-08
3.644416809082029829e+01	6.560853086963918902e-08
3.693909645080569959e+01	8.543573762981359495e-08
3.742038345336910510e+01	8.262127886610520274e-08
3.789834785461429334e+01	7.455338478455190197e-08
3.838925361633300071e+01	6.693513023972018927e-08
3.888082504272460227e+01	6.207528286025740354e-08
3.936256980895999646e+01	6.006973771151870708e-08
3.985381889343260298e+01	6.951070898578839791e-08
4.033674430847170100e+01	5.821847434673400019e-08
4.082526779174799714e+01	3.630775603663149978e-08
4.131480407714840197e+01	5.522571078956808925e-08
4.180332374572750354e+01	4.285937816259569833e-08
4.229037475585939632e+01	5.663352257512730048e-08
4.277612113952640271e+01	5.662393135208710420e-08
4.327930068969729405e+01	4.687879803857790471e-08
4.376819610595700283e+01	4.075351779607049900e-08
4.424787139892580257e+01	3.748269374441079985e-08
4.473384666442870383e+01	7.527543750704219509e-08
4.521903800964360443e+01	5.910021397235200604e-08
4.571023750305179334e+01	5.100901526060980839e-08
4.619772911071779475e+01	6.027276616519160592e-08
4.668090438842770595e+01	2.945587912951189714e-08
4.718404769897460227e+01	4.308499682702319385e-08
4.767477035522460227e+01	4.099173506185109916e-08
4.817541503906250000e+01	4.645700089934059707e-08
4.866591644287110086e+01	5.238922734487289698e-09
4.914172363281250000e+01	1.669432365684110319e-08
4.962846374511720882e+01	4.386456707206940159e-08
5.013115310668950286e+01	2.523762454333569631e-08
5.060529899597170100e+01	3.234451092198589891e-08
5.109964942932129617e+01	4.230659597444610109e-08
5.158866119384770599e+01	2.634877048962910183e-08
5.207476806640629974e+01	5.211949079286719774e-08
5.256245994567870383e+01	2.697212096507959811e-08
5.305264472961429334e+01	2.054795461891580265e-08
5.354712486267089844e+01	6.153959254116530952e-08
5.405121040344240413e+01	5.336076207422009807e-08
5.452640914916990056e+01	3.255114589154029480e-08
5.503133583068849788e+01	1.087797653915480008e-08
5.553957748413089490e+01	-9.314524265365999124e-11
5.601966667175290127e+01	1.402024216045499987e-08
5.649793624877929688e+01	1.571516159953060006e-09
5.697726058959960227e+01	2.201966812531050307e-09
5.748533248901370030e+01	1.526143626267090258e-08
5.798201179504389557e+01	4.852010284471070531e-09
5.846775436401370030e+01	7.087662101729530182e-10
5.895250701904299717e+01	3.637922327406089755e-08
5.944365692138669743e+01	2.931443539405829893e-08
5.994034194946289773e+01	1.584461607039159836e-08
6.045688056945800071e+01	4.354228868735189867e-09
6.093071937561040130e+01	2.996689685442180048e-08
6.141962432861330257e+01	4.389803487325759485e-08
6.190203094482419743e+01	1.259404186371139820e-08
6.238623619079589844e+01	2.714491295672349980e-08
6.286923027038570666e+01	6.834522539690570586e-09
6.335877990722659803e+01	2.723447481950520342e-08
6.386071205139160156e+01	1.498334685038749916e-08
6.436970520019529829e+01	1.583228126971779898e-08
6.484113693237300424e+01	1.326282186964919867e-08
6.534432983398438921e+01	-9.043662444364029432e-10
6.582855987548829546e+01	-1.143455941797860153e-08
6.631657028198240766e+01	-3.189599153301310463e-09
6.682089614868159799e+01	2.712716950798180132e-08
6.730604171752929688e+01	5.610985721313350225e-08
6.778984451293949576e+01	3.908172182482020724e-09
6.829631042480470171e+01	2.041935442142600235e-08
6.877779388427730112e+01	2.635501956160309790e-09
