#  temperature dependence of magnetization of quartz holder at 1T
#   temperature (K) 	 M/H (emu)
3.000003356933589771e+02	-1.018561148985889929e-08
3.000361785888670170e+02	-1.345180494556500015e-08
3.000439147949219887e+02	-1.357074597689720084e-08
2.999432373046869884e+02	-7.992462229157671366e-09
2.997231903076170170e+02	-1.318374871736730060e-08
2.993683013916019604e+02	-1.754382417970419889e-08
2.989255523681640057e+02	-1.431787913231799855e-08
2.984323425292969887e+02	-1.268820803134100089e-08
2.978814392089839771e+02	-1.483183114954540140e-08
2.973244476318359943e+02	-7.192559959278521132e-09
2.967834930419920170e+02	-6.635394548596719916e-09
2.962420501708980396e+02	-8.949238966452789970e-09
2.957035217285160229e+02	-1.526086665006020037e-08
2.951620788574219887e+02	-1.458219033739699986e-08
2.945998535156250000e+02	-1.691247853484179849e-08
2.940683135986329830e+02	-8.162062859130891009e-09
2.934402770996089771e+02	-1.320537707446110057e-08
2.927682189941410229e+02	-1.353975076123209853e-08
2.921613311767579830e+02	-7.812154269147799604e-09
2.916137084960940342e+02	-1.092330840732469952e-08
2.910765991210940342e+02	-1.362272998615639849e-08
2.905679626464839771e+02	-1.221573691222439985e-08
2.900636444091799717e+02	-1.764884860363500165e-08
2.895754241943359943e+02	-1.580639327250590017e-08
2.890657501220700283e+02	-7.782668189693378592e-09
2.885750274658200283e+02	-1.460990374559699839e-08
2.880908050537109943e+02	-1.643378980295020181e-08
2.875903320312500000e+02	-1.385341049966489940e-08
2.871275634765619884e+02	-1.789572931575589971e-08
2.866305084228519604e+02	-1.361251868427450045e-08
2.861389923095700283e+02	-1.188281133792710028e-08
2.856600189208980396e+02	-3.492039445293389981e-09
2.851758422851559658e+02	-1.595089922375079986e-08
2.846836853027339771e+02	-1.055221988090670086e-08
2.842119750976559658e+02	-1.417610816633009832e-08
2.837173461914059658e+02	-7.949925942695707766e-09
2.832230682373049717e+02	-1.752054786729680072e-08
2.827194976806640057e+02	-9.886911011076508446e-09
2.822193298339839771e+02	-1.369780599596340063e-08
2.817207946777339771e+02	-1.598373609968379828e-08
2.812366485595700283e+02	-8.555611676269049438e-09
2.807381286621089771e+02	-6.872886156173620984e-09
2.802247467041019604e+02	-9.797036180720830264e-09
2.796983795166019604e+02	-9.803534326917370426e-09
2.792154235839839771e+02	-8.970657909907419996e-09
2.787185058593750000e+02	-1.061506114660810113e-08
2.782242279052730396e+02	-9.088676355115458373e-09
2.777267608642579830e+02	-1.478776669074139872e-08
2.772305145263670170e+02	-1.576109052462999960e-08
2.767272644042969887e+02	-1.472455181602739917e-08
2.762327423095700283e+02	-4.816448910003079338e-09
2.757193450927730396e+02	-1.184046183852259897e-08
2.752410430908200283e+02	-3.871658574883139861e-09
2.747436065673829830e+02	-1.170140294652129881e-08
2.742182006835940342e+02	-5.897109305814579988e-09
2.737277832031250000e+02	2.388591691829980148e-09
2.732391357421869884e+02	-1.956724467890500116e-08
2.727310180664059658e+02	-1.112153145725860149e-08
2.722381134033200283e+02	-8.095867897314890084e-09
2.717287139892579830e+02	-1.258260734110290057e-08
2.712434234619140057e+02	-9.391196237182080406e-09
