#  temperature dependence of magnetization of quartz holder at 5T
#   temperature (K) 	 M/H (emu)
2.999994812011719887e+02	-5.716433506011808978e-08
3.000115509033200283e+02	-1.217504808792219818e-07
3.000380096435549717e+02	-2.490556209038129818e-08
2.999860687255859943e+02	-9.660664296662310491e-08
2.998040161132809658e+02	-6.279098772785129758e-08
2.995009613037109943e+02	-1.093720971618900086e-07
2.990822906494140057e+02	-1.163805969843570044e-07
2.986115112304690342e+02	-6.235177409886611127e-08
2.980917663574219887e+02	-7.739214992195030518e-08
2.975640258789059658e+02	-3.574636863797569944e-08
2.970102691650390057e+02	-4.693781735614499938e-08
2.964677429199219887e+02	-3.515498327010890454e-08
2.959350585937500000e+02	-7.987969075783870871e-08
2.953831329345700283e+02	-3.307808467411530080e-08
2.948473205566410229e+02	-4.595926459276869753e-08
2.943262023925780113e+02	-7.697618752921419853e-08
2.938112182617190342e+02	-6.429779444764460909e-08
2.932936553955079830e+02	-4.773793663763389555e-08
2.926750030517579830e+02	-9.658040623665519433e-08
2.920135192871089771e+02	-9.897085399796230978e-08
2.914135742187500000e+02	-6.502552367899269430e-08
2.908605957031250000e+02	-3.318987019687689992e-08
2.903231201171880116e+02	-9.582406278402630706e-08
2.897990264892579830e+02	-5.331975073792420146e-08
2.893081970214839771e+02	-8.405722359230910762e-08
2.888159484863280113e+02	-1.244636683104079906e-07
2.882895812988280113e+02	-1.449328324764430007e-07
2.877982635498049717e+02	-1.342916866389209969e-07
2.873330688476559658e+02	-7.270555833796209681e-08
2.868433227539059658e+02	-8.729739904914419870e-08
2.863561248779299717e+02	-5.568785787387360107e-08
2.858709259033200283e+02	-1.089837699847789944e-07
2.853904571533200283e+02	-9.838661504125259483e-08
2.849099426269530113e+02	-1.153461928943919897e-07
2.844143066406250000e+02	-1.384884964314500109e-07
2.839234771728519604e+02	-1.424439887136549946e-07
2.834414215087890057e+02	-7.886174197651669859e-08
2.829357757568359943e+02	-1.191336608204449907e-07
2.824452209472660229e+02	-6.454289733820639352e-08
2.819279479980469887e+02	-8.566142243541740308e-08
2.814478454589839771e+02	-1.432919913691590117e-07
2.809654083251950283e+02	-9.183789062614731126e-08
2.804734344482420170e+02	-1.104454285415450072e-07
2.799753723144530113e+02	-7.451754284045869993e-08
2.794871368408200283e+02	-8.470453210445700253e-08
2.789596099853519604e+02	-1.035582301438680105e-07
2.779621582031250000e+02	-1.036492043027099904e-07
2.774585876464839771e+02	-6.841993358594230229e-08
2.759812622070309658e+02	-1.297274119355030136e-07
2.749743804931640057e+02	-6.838258593285838959e-08
2.744915618896480396e+02	-1.782986273924860280e-07
2.739717102050780113e+02	-9.387158726499919991e-08
2.724840545654299717e+02	-1.110085055544580026e-07
2.704713134765619884e+02	-1.284652379561559822e-07
2.674592590332030113e+02	-1.142026703534919962e-07
2.669514923095700283e+02	-1.120963187953629999e-07
2.664601745605469887e+02	-1.284518521663530193e-07
2.659761199951170170e+02	-1.300206085716650019e-07
2.654844360351559658e+02	-9.268115246427159957e-08
2.649866333007809658e+02	-8.361842938552610212e-08
2.645008087158200283e+02	-1.113892599746650022e-07
2.640103759765619884e+02	-1.182450406628219794e-07
2.634957122802730396e+02	-1.098579604323319862e-07
2.629769439697269604e+02	-1.051144206414840036e-07
2.624639892578130116e+02	-1.509689932284869865e-07
2.619591369628910229e+02	-1.504388082996119975e-07
2.614737854003910229e+02	-9.513277119892789663e-08
2.609828033447269604e+02	-1.403225893529439880e-07
2.604829254150390057e+02	-1.332379974988629998e-07
2.599857482910160229e+02	-1.476643714075409959e-07
2.594721984863280113e+02	-1.499113737559679864e-07
2.589866180419920170e+02	-1.350040828340620029e-07
2.585035552978519604e+02	-1.137494868488780078e-07
2.580170745849609943e+02	-1.304941289913289983e-07
2.575053100585940342e+02	-1.241233984310140059e-07
2.569909515380859943e+02	-1.436527508949260056e-07
2.564915466308589771e+02	-1.357330496930680142e-07
2.559884872436520027e+02	-1.284053100829419727e-07
2.554847335815429972e+02	-1.408572810493450050e-07
2.550000839233399859e+02	-1.663842538492909856e-07
2.544937820434570028e+02	-1.492637606531250119e-07
2.539946517944340201e+02	-1.548770773321890165e-07
2.534967956542969887e+02	-1.814205622899019957e-07
2.530054168701169885e+02	-1.537823867433939837e-07
2.525117187500000000e+02	-1.305258800857059982e-07
2.520223388671870168e+02	-1.801990347858919936e-07
2.515237579345699999e+02	-1.527558810249419836e-07
2.510228271484379832e+02	-1.561559666155029973e-07
2.505226211547850141e+02	-1.599416673634430178e-07
2.499862289428710085e+02	-1.508911790575989933e-07
2.494972610473630255e+02	-1.626140183356819779e-07
2.489708175659179972e+02	-1.459173709175319902e-07
2.484466857910159945e+02	-1.444574769046940143e-07
2.479657516479489914e+02	-1.585232818257319841e-07
2.474835662841800001e+02	-1.245129828537609950e-07
2.469909362792969887e+02	-1.069854838988730113e-07
2.465044784545899859e+02	-1.627973617405319854e-07
2.459928741455080115e+02	-1.281622496765009783e-07
2.454868392944340201e+02	-1.327752739992120053e-07
2.449698104858399859e+02	-1.257212362260850054e-07
2.444758758544919885e+02	-1.401500042430669922e-07
2.439879531860350141e+02	-1.335365241651419973e-07
2.434995880126949999e+02	-1.299973900826669824e-07
2.429789047241210085e+02	-1.358990505065689947e-07
2.424740676879880255e+02	-1.283728088905959832e-07
2.419777832031250000e+02	-1.070867856999340017e-07
2.415019989013669885e+02	-1.334653195256809854e-07
2.409841079711909799e+02	-1.350405623158380164e-07
