#  temperature dependence of magnetization of quartz holder at 3T
#   temperature (K) 	 M/H (emu)
2.999983215332030113e+02	-6.444271976015820731e-08
3.000301208496089771e+02	-7.401570255204490576e-08
3.000298156738280113e+02	-7.158646562883200173e-08
2.998587951660160229e+02	-5.646918463648070010e-08
2.995167236328119884e+02	-6.592517057844959701e-08
2.990911254882809658e+02	-5.934401874386840169e-08
2.985960388183589771e+02	-6.417764147060400336e-08
2.981025543212890057e+02	-5.558754253165980452e-08
2.975862426757809658e+02	-2.846339706412730172e-08
2.970679321289059658e+02	-9.614141439134741304e-08
2.965465698242190342e+02	-5.828738089370809541e-08
2.960108489990230396e+02	-4.809481069252990302e-08
2.954753265380859943e+02	-5.200090999039450212e-08
2.949605712890630116e+02	-7.639695497340990334e-08
2.944224853515619884e+02	-7.763560844055090369e-08
2.939018249511719887e+02	-4.813735482361320412e-08
2.934095611572269604e+02	-4.416540910751879562e-08
2.929174957275390057e+02	-5.966053227864669857e-08
2.924067382812500000e+02	-6.183700392588860186e-08
2.918935852050780113e+02	-4.760073997059930149e-08
2.913689270019530113e+02	-3.946769495028120268e-08
2.908332214355469887e+02	-4.804004404958010031e-08
2.903283386230469887e+02	-3.402458042379780146e-08
2.898554992675780113e+02	-5.174920273262509437e-08
2.893468627929690342e+02	-4.480794881082589849e-08
2.888505859375000000e+02	-4.332581084637529826e-08
2.883584442138670170e+02	-3.887048809796430361e-08
2.878479614257809658e+02	-6.583782962742840478e-08
2.873470001220700283e+02	-6.061060574840450604e-08
2.868505706787109943e+02	-4.833431643585040099e-08
2.863285980224609943e+02	-5.367851320082820378e-08
2.858235168457030113e+02	-6.301590473347169904e-08
2.853230895996089771e+02	-4.406090414224669880e-08
2.848368835449219887e+02	-2.662977180794270168e-08
2.843296508789059658e+02	-6.122799759374040995e-08
2.838127746582030113e+02	-6.052277549835310155e-08
2.833089294433589771e+02	-7.337266649915979546e-08
2.828067932128910229e+02	-7.397144248271650269e-08
2.823200378417969887e+02	-7.029875297870890412e-08
2.818403167724609943e+02	-7.122121137885509717e-08
2.813404388427730396e+02	-6.511089114897530260e-08
2.808360900878910229e+02	-5.035787137770700145e-08
2.803324432373049717e+02	-5.923331008277719934e-08
2.798333892822269604e+02	-4.063707537860109835e-08
2.793434906005859943e+02	-4.798485843013730362e-08
2.788366851806640057e+02	-7.137852910714889245e-08
2.783358306884769604e+02	-6.869643855722739648e-08
2.778513946533200283e+02	-6.259140489351700782e-08
2.773378295898440342e+02	-5.814415646725180008e-08
2.768384704589839771e+02	-5.817763078981849986e-08
2.763338470458980396e+02	-5.112780037379619754e-08
2.758332061767579830e+02	-5.268166789992349558e-08
2.753417053222660229e+02	-5.595904268683330005e-08
2.748396606445309658e+02	-7.164139837240380623e-08
2.743262939453130116e+02	-6.520521591140999856e-08
2.738263854980469887e+02	-7.302248280620820098e-08
2.733328094482420170e+02	-5.212077004607370216e-08
2.728251190185549717e+02	-6.721567006516428795e-08
2.723354492187500000e+02	-5.499404130888469161e-08
2.718429718017579830e+02	-6.141077896024370012e-08
2.713372039794920170e+02	-6.770689454844379933e-08
2.708368530273440342e+02	-5.526989651937350270e-08
2.703472595214839771e+02	-6.627179927490900143e-08
2.698591003417969887e+02	-6.812551428898560018e-08
2.693669738769530113e+02	-5.321422616292019162e-08
2.688637237548829830e+02	-6.433208242250449717e-08
