#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
4.097414970397949929e+01	8.083486479810370711e-09
4.147237777709960227e+01	1.582247466214210242e-08
4.197391510009770599e+01	1.355190357396689920e-08
4.247390747070310368e+01	7.092163637567529126e-09
4.294854736328120026e+01	1.817983868574359958e-08
4.343006134033200283e+01	8.268293219980958784e-09
4.392222404479979758e+01	9.729840741503609176e-09
4.441441345214840197e+01	9.937764764208399990e-09
4.490569686889650569e+01	1.466194570483309895e-08
4.537596130371090197e+01	1.781173770689859867e-08
4.586872291564939275e+01	1.069034814763680065e-08
4.638547897338870030e+01	1.098506801770140101e-08
4.686204910278320312e+01	1.362236458030380051e-08
4.733586692810060725e+01	9.272217080065719788e-09
4.782295989990229401e+01	2.009741177129620092e-08
4.831098175048830257e+01	1.882548005564889894e-08
4.881500053405759587e+01	-4.647776896951169939e-09
4.931148910522460227e+01	2.811433258461439911e-11
4.979592323303220525e+01	1.863461628694000221e-09
5.027145385742189632e+01	1.219602259244080112e-08
5.076984977722170100e+01	-1.273060251796570182e-08
5.124671173095700283e+01	3.625362847541300402e-09
5.174502182006839490e+01	3.951980778000450097e-09
5.223534774780270595e+01	5.924217307692340059e-09
5.272904777526860443e+01	-8.254520205695380271e-10
5.321512985229490056e+01	1.979577126615710194e-09
5.369513893127439275e+01	1.145331839907620036e-08
5.418341064453129974e+01	9.034686822499741727e-09
5.468038558959960227e+01	2.326884460114669720e-09
5.517216873168950286e+01	5.545273177012289721e-09
5.565728378295900569e+01	5.231737346347270454e-09
5.616164207458499646e+01	-5.869009519441999379e-10
5.666800308227539773e+01	1.331540629745009840e-09
5.715748977661129970e+01	7.227275710836030622e-09
5.764834403991699929e+01	-1.389171370009600190e-08
5.812764930725099788e+01	1.564024156327999951e-09
5.860844802856450286e+01	9.526563829396200476e-09
5.912650108337400212e+01	-2.466124242131850186e-08
5.961588478088379617e+01	4.529796124339439843e-09
6.009797286987299714e+01	-5.369141220567610495e-09
6.058798980712889914e+01	-5.466639179136230420e-09
6.107236862182620030e+01	-1.523677666220330144e-08
6.155454635620120030e+01	3.153168074445289772e-09
6.203977584838870030e+01	5.089750962611239066e-09
6.252586364746090197e+01	-1.167446393546339990e-08
6.303472900390629974e+01	-1.373138226115199865e-08
6.350576782226560368e+01	-2.238940755305799695e-08
6.400941276550290127e+01	-6.318830498397170410e-09
6.451197814941410513e+01	-8.315449382413531040e-09
6.500299835205079546e+01	-1.235886907572340011e-08
6.549330902099610796e+01	1.918091988584859816e-08
6.598426437377929688e+01	1.457504260751970059e-08
6.647457504272459516e+01	-4.770343192156500630e-09
6.696898651123049717e+01	3.431403414800159753e-09
6.745448684692379970e+01	-8.655731174103579214e-09
6.795239257812500000e+01	-9.993451761568439950e-09
6.845199203491209516e+01	-1.877985754178530094e-09
6.892511367797850141e+01	-1.128834797141649930e-08
6.941743850708009234e+01	-2.236588658977470113e-08
6.990867614746089487e+01	-1.024913420633009998e-08
