#  temperature dependence of magnetization of quartz holder at 7T
#   temperature (K) 	 M/H (emu)
2.999990539550780113e+02	-1.643992253918229997e-07
3.000207214355469887e+02	-1.391567023496549997e-07
3.000440063476559658e+02	-1.100158808696589960e-07
2.999712066650390057e+02	-1.507481972176919881e-07
2.997816925048829830e+02	-1.335262734940309987e-07
2.994708251953130116e+02	-1.049439894634819925e-07
2.990416717529299717e+02	-1.114436058887130017e-07
2.985547485351559658e+02	-1.330227495567899896e-07
2.980440673828119884e+02	-1.078793624349039968e-07
2.975207061767579830e+02	-1.032112326402940074e-07
2.969758453369140057e+02	-1.169287232213279906e-07
2.964349517822269604e+02	-1.401487359969150151e-07
2.959148559570309658e+02	-1.436258026582019748e-07
2.953683929443359943e+02	-1.175739834020119969e-07
2.948353118896480396e+02	-1.207961206120610086e-07
2.942826995849609943e+02	-9.546497267098329598e-08
2.937687225341799717e+02	-1.282886685127280002e-07
2.932192993164059658e+02	-1.330906674583699936e-07
2.925731811523440342e+02	-1.225519483563330176e-07
2.918598785400390057e+02	-1.064415349852530126e-07
2.912914886474609943e+02	-1.206828007610919903e-07
2.907603302001950283e+02	-1.107689477072380047e-07
2.902473144531250000e+02	-1.131435183502239923e-07
2.897708435058589771e+02	-1.052557405564730081e-07
2.892788543701170170e+02	-1.283639946508659949e-07
2.887483367919920170e+02	-1.186813651439300119e-07
2.882417907714839771e+02	-1.170891906844899831e-07
2.877772979736329830e+02	-8.153579183966790898e-08
2.873138122558589771e+02	-1.270724232074110127e-07
2.868259277343750000e+02	-1.184640510996580130e-07
2.863358306884769604e+02	-1.062446119585159971e-07
2.858448333740230396e+02	-9.533710023536670678e-08
2.853671875000000000e+02	-1.453625695553769787e-07
2.848966369628910229e+02	-8.854410630253278842e-08
2.843970642089839771e+02	-9.940012583439301224e-08
2.838931579589839771e+02	-8.441484178084890043e-08
2.834018402099609943e+02	-9.721280567087650353e-08
2.829047698974609943e+02	-1.308203476345969956e-07
2.824278869628910229e+02	-1.044315312121390023e-07
2.819488220214839771e+02	-1.118481097352400120e-07
2.814468536376950283e+02	-1.228491318826240169e-07
2.809354553222660229e+02	-1.071488558925230028e-07
2.804457550048829830e+02	-1.109213902059600081e-07
2.799376373291019604e+02	-9.260841521452909443e-08
2.794404602050780113e+02	-1.258825795865699962e-07
2.789464569091799717e+02	-1.168720965402330147e-07
2.784399566650390057e+02	-1.033136275412269927e-07
2.779553222656250000e+02	-1.174252095679680147e-07
2.774613952636719887e+02	-1.038774071412090000e-07
2.769668426513670170e+02	-1.071718152034690060e-07
2.764444122314450283e+02	-1.132837132120119778e-07
2.759516448974609943e+02	-1.310164763499440053e-07
2.754636840820309658e+02	-8.749991920538009857e-08
2.749510345458980396e+02	-1.327371826641780201e-07
2.744480133056640057e+02	-1.192582616957110030e-07
2.739593200683589771e+02	-1.265975420978340121e-07
2.734508361816410229e+02	-1.128634435440609899e-07
2.729522705078130116e+02	-1.206614969176369785e-07
2.724554595947269604e+02	-1.194329891309350094e-07
2.719468231201170170e+02	-1.184273306236459919e-07
2.714744415283200283e+02	-1.035530897724850013e-07
2.709853057861329830e+02	-1.150094155452209908e-07
2.704698181152339771e+02	-1.351357961032820105e-07
2.699639892578130116e+02	-1.375032883600319858e-07
2.694658508300780113e+02	-1.134989514798869898e-07
2.689550933837890057e+02	-1.223046394786349950e-07
2.684520263671869884e+02	-1.119413683730299958e-07
2.679497985839839771e+02	-1.322617932107049913e-07
2.674518280029299717e+02	-1.012652490174589940e-07
2.669585571289059658e+02	-1.331021949942229861e-07
2.664484863281250000e+02	-1.297281144238719879e-07
2.659639892578130116e+02	-1.260113258611829935e-07
2.654729309082030113e+02	-1.213657994674539934e-07
2.649872741699219887e+02	-1.479892495684909991e-07
2.644821624755859943e+02	-1.161980527717619957e-07
2.639797668457030113e+02	-1.360964752771389952e-07
2.634878845214839771e+02	-1.315471801918499957e-07
2.629758300781250000e+02	-1.164688237070409950e-07
2.624538269042969887e+02	-1.309390128265209816e-07
2.619644165039059658e+02	-1.379090066161369965e-07
2.614734497070309658e+02	-1.316511474625460008e-07
2.609838256835940342e+02	-1.012092944518130098e-07
2.604831848144530113e+02	-1.296357043967430015e-07
2.599838104248049717e+02	-1.045823741807880089e-07
2.594754333496089771e+02	-1.199527986525749851e-07
2.589830932617190342e+02	-9.502648791205830319e-08
2.584844665527339771e+02	-1.206828090868599909e-07
2.579802093505859943e+02	-1.262605888074130167e-07
2.574855957031250000e+02	-1.123487612976840009e-07
2.570054321289059658e+02	-1.166479216769249927e-07
2.564955139160160229e+02	-1.263142208177499919e-07
2.559862594604489914e+02	-1.185953459241699928e-07
2.554994430541989914e+02	-1.118495212982230244e-07
2.549948577880860228e+02	-1.368136004672530215e-07
2.544825210571289915e+02	-1.073885485788380147e-07
2.539834899902340055e+02	-1.119751780436810050e-07
2.534542083740230112e+02	-1.056929905811509949e-07
2.529780731201169885e+02	-1.255353932277600011e-07
2.524818801879880255e+02	-1.091021925742830060e-07
2.520008239746090055e+02	-1.241197750297100050e-07
2.515171356201169885e+02	-1.269196837740069968e-07
2.510108489990230112e+02	-1.170741365788439961e-07
2.505028915405270027e+02	-1.329148916813359893e-07
2.500060348510739914e+02	-1.464584606016259838e-07
2.494861221313479973e+02	-1.137745076814400009e-07
2.490005340576169885e+02	-1.217868832844840122e-07
2.484979248046870168e+02	-1.448044942827769958e-07
2.479980621337889772e+02	-1.208544832773280200e-07
2.474906234741210085e+02	-1.194237186569469821e-07
2.470019760131840201e+02	-1.472181538871519887e-07
2.465141372680659799e+02	-1.291965799644559834e-07
2.460079116821289915e+02	-1.215191319787469840e-07
2.454957580566409945e+02	-1.457170073971130068e-07
2.450071411132809942e+02	-1.098493959492110048e-07
2.444917678833010086e+02	-1.286640130518509770e-07
2.440048141479489914e+02	-1.164356374678530017e-07
2.435187683105469887e+02	-1.318054270890899941e-07
2.430093002319340201e+02	-1.249462717608109916e-07
2.424816055297850141e+02	-1.394639296203289906e-07
2.419866104125979973e+02	-1.347288595819130175e-07
2.415079116821289915e+02	-1.216867134144590056e-07
2.410301742553710085e+02	-1.276123527490520119e-07
2.405225601196289915e+02	-1.481900364901099959e-07
2.400085678100590201e+02	-1.174416127962600015e-07
2.395047454833980112e+02	-1.281000611708760049e-07
2.390010070800780113e+02	-1.391099957346419864e-07
2.384781417846679972e+02	-1.495473481250859883e-07
2.379850158691409945e+02	-1.478667043964630037e-07
2.374724655151369745e+02	-1.421588318057170012e-07
2.369879074096679972e+02	-1.341814334866759995e-07
2.365084075927730112e+02	-1.286647085980989842e-07
2.360036926269530113e+02	-1.090112448670890141e-07
2.354906692504880255e+02	-1.267239495521189886e-07
2.349944686889649859e+02	-6.434274563179959626e-08
2.344904861450200144e+02	-4.208346385143930435e-08
2.339733200073239914e+02	-7.289545239951259594e-08
2.334859313964840055e+02	-4.277205682358399694e-08
2.330021972656250000e+02	-6.416532090695900818e-08
2.325031661987299856e+02	-8.072990333876730789e-08
2.319896392822269888e+02	-9.005949425880160424e-08
2.314902801513669885e+02	-5.247592794695980574e-08
2.310079956054690058e+02	-4.927476838449620189e-08
2.305287933349610228e+02	-5.527231264117309757e-08
2.300176315307619745e+02	-5.303432762376759445e-08
2.295207061767580115e+02	-7.335185969423491237e-08
2.290132446289059942e+02	-8.625146663852950620e-08
2.285050735473630255e+02	-4.954060446170190296e-08
2.280185852050780113e+02	-5.891503091205469504e-08
2.275301742553710085e+02	-9.258036704110329983e-08
2.270278549194340201e+02	-8.125807630620490836e-08
2.265302276611330115e+02	-7.088856230880169617e-08
2.260177688598630255e+02	-7.315519949046019019e-08
2.254890823364260086e+02	-7.831674735904808912e-08
2.249986114501949999e+02	-6.215190148088720412e-08
2.245143051147460085e+02	-5.130751732230630023e-08
2.240290527343750000e+02	-6.489628982616260175e-08
2.235267639160159945e+02	-6.802468314767240250e-08
2.230010299682619745e+02	-7.666954245704549585e-08
2.225470504760739914e+02	-7.492892889902450356e-08
2.220506820678710085e+02	-6.086336039290980105e-08
2.215503463745119745e+02	-3.866997045150629873e-08
2.210390090942380255e+02	-6.691205288011289315e-08
2.205390701293949860e+02	-7.208421836230731404e-08
2.200393905639649859e+02	-4.603698881537330419e-08
2.195348739624020027e+02	-5.798911905695869633e-08
2.190251312255860228e+02	-3.891986572012249749e-08
2.185385437011719887e+02	-4.453097334727360687e-08
2.180269393920899859e+02	-7.419557977809389480e-08
2.175066833496090055e+02	-6.696944019178349622e-08
2.170094223022460085e+02	-5.441922304841910391e-08
2.165148010253909945e+02	-6.603649364493780607e-08
2.160252990722659945e+02	-4.344402561765690140e-08
2.155244903564449999e+02	-5.891011896956330469e-08
2.150357589721679972e+02	-4.595717864554290342e-08
2.145251235961909799e+02	-3.544463586312930315e-08
2.140313720703129832e+02	-3.589469523922720116e-08
2.135465621948239914e+02	-2.952785177396400104e-08
2.130581283569340201e+02	-4.070353427120700805e-08
2.125495071411130255e+02	-1.253150377145620064e-08
2.120392608642580115e+02	-1.365631312341590211e-08
2.115236740112300140e+02	-5.012676659552190010e-08
2.110224838256840201e+02	-4.670601082784690126e-08
2.105279693603519888e+02	-4.007852037240009687e-08
2.100421447753909945e+02	-6.822817828650139458e-08
2.095382614135739914e+02	-7.529856802119950031e-08
2.090251998901369745e+02	-4.339988814257659805e-08
2.085242309570309942e+02	-5.143024898059450289e-08
2.080436096191409945e+02	-2.738642124720819658e-08
2.075359878540039915e+02	-3.212644998819270197e-08
2.070414199829100141e+02	-3.566075766339459903e-08
2.065517883300780113e+02	-4.029916074380700119e-08
2.060562515258789915e+02	-4.811083961298430202e-08
2.055602111816409945e+02	-3.801956222164619999e-08
2.050630722045899859e+02	-5.026635733760759913e-08
2.045532836914059942e+02	-2.194325415364709967e-08
2.040424346923830115e+02	-4.436835014089059965e-08
2.035381469726559942e+02	-3.349041423665829602e-08
2.030294418334960085e+02	-4.118322742138559861e-08
2.025372238159179972e+02	-6.274221305563680196e-08
2.020437088012699860e+02	-3.524731617373310078e-08
2.015349197387699860e+02	-7.762319847256629531e-08
2.010289688110350141e+02	-7.477191008819350115e-08
2.005225067138669885e+02	-1.779936825402639943e-08
2.000441818237300140e+02	-4.242312635964289953e-08
1.995379028320309942e+02	-1.736653561058329961e-08
1.990398483276369745e+02	-2.309627640343100216e-08
1.985567703247070028e+02	-7.846512150882441127e-09
1.980512847900389772e+02	-5.179120139425969579e-08
1.975566558837889772e+02	-2.876170799449279952e-08
1.970380020141600141e+02	-2.852547965480759741e-08
1.965278778076169885e+02	-7.617165972331400067e-08
1.960352706909179972e+02	-2.664596787746029829e-08
1.955351715087889772e+02	-3.500841192827010209e-10
1.950386810302730112e+02	-1.742519491746500190e-08
1.945375289916989914e+02	-3.224185629337270567e-08
1.940427093505860228e+02	-5.492000519603910166e-08
1.935532989501949999e+02	-3.218918289420099901e-08
1.930303802490230112e+02	-6.754960806298570098e-08
1.925162506103519888e+02	-4.480633050015920130e-08
1.920406951904300001e+02	-2.219480278611599963e-08
1.915628662109379832e+02	-1.513643910394569787e-08
1.910715637207030113e+02	-2.767625872634549791e-08
1.905626754760739914e+02	-1.815017640487400001e-08
1.900477600097659945e+02	-5.056175102333059254e-08
1.895506973266600141e+02	-7.803675888168549678e-08
1.890498886108399859e+02	-4.881611240978489940e-09
1.885517959594729973e+02	-8.131450580486908470e-09
